,root,category,branch,language,questionable,reflex,meaning,notes,expanded_notes,original_text
2839,*h₂en-{1},perfect,Anatolian,heth.,false,hēnir,schöpfen,,,"heth. hāni, hēnir ‘schöpfen’{2}"
2840,?*h₂endʰ-{1},fientive,Greek,gr.,false,ἀνθῆσαι,blühen,2,2: Nach TUCKER 64 ist das gr. Verb denom. zu Kompositionshinterglied -ανθής.,[gr. ἀνθῆσαι ‘blühen’{2}
2841,?*h₂endʰ-{1},essive,Greek,gr.,false,ἀνθέω,blühe,3,3: Eher innergriechische Neubildung zum Aorist.,gr. (Hes.+) ἀνθέω ‘blühe’{3}
2842,*h₂engʷ-{0},root aorist,Armenian,arm.,false,salbte,"spread, apply ointment",1,"1: Lautlich schwierig, s. KLINGENSCHMITT 181-2, das Präsens awcanem kann innerarmenisch zum Aorist neugebildet sein.",?arm. awc ‘salbte’{1}
2843,*h₂engʷ-{0},nasal-infix present,Indic,ved.,false,anákti,"salbt, bestreicht",,,"ved. anákti, aṅktā ‘salbt, bestreicht’"
2844,*h₂engʷ-{0},nasal-infix present,Indic,ved.,false,aṅktā,"salbt, bestreicht",,,"ved. anákti, aṅktā ‘salbt, bestreicht’"
2845,*h₂engʷ-{0},nasal-infix present,Armenian,arm.,false,awcanem,salbe,1,"1: Lautlich schwierig, s. KLINGENSCHMITT 181-2, das Präsens awcanem kann innerarmenisch zum Aorist neugebildet sein.",?[arm. awcanem ‘salbe’{1}
2846,*h₂engʷ-{0},full-grade e-present,Italic,lat.,false,unguō,salben,,,"[lat. unguō, -ere ‘salben’,## umbr. umtu ‘soll salben’{2}"
2847,*h₂engʷ-{0},full-grade e-present,Italic,lat.,false,-ere,,,,"[lat. unguō, -ere ‘salben’,## umbr. umtu ‘soll salben’{2}"
2848,*h₂engʷ-{0},full-grade e-present,Italic,umbr.,false,umtu,soll salben,2,"2: Oder thematisiert aus dem Nasalpräs. *h₃n̥ngʷ-e- > *on(n)gʷe-?; vgl. KLINGENSCHMITT 181, SCHRIJVER 62. Jedenfalls mit o-Stufe vom Substantiv unguen ‘Fett, Salbe’ (s.o. Anm. 0).","[lat. unguō, -ere ‘salben’,## umbr. umtu ‘soll salben’{2}"
2849,*h₂engʷ-{0},perfect,Indic,ved.,false,ānañja,hat gesalbt,3,"3: Ved. Neubildung, s. KÜMMEL, Perfekt 95-6.","ved. ānañja, ānajā ‘hat gesalbt’{3}"
2850,*h₂engʷ-{0},perfect,Indic,ved.,false,ānajā,hat gesalbt,,,"ved. ānañja, ānajā ‘hat gesalbt’{3}"
2851,*h₂enh₁-{1},amphidynamic root-present,Indic,ved.,false,ániti,atmet,2,"2: Ab AV auch thematisiert ánati (AV auch anáti), vgl. GOTŌ 75.",ved. ániti ‘atmet’{2}
2852,*h₂enh₁-{1},amphidynamic root-present,Iranian,jav.,false,"auu-ąn Yt. 8,7; 38 ‘atmete hin’",,3,"3: Umstritten; nach KELLENS, Verbe 1052 Akk. Pl. von auua- ‘Hilfe’; vgl. aber khot. uys-an- ‘ausatmen’, EMMERICK 14.","?jav. auu-ąn Yt. 8,7; 38 ‘atmete hin’{3}"
2853,*h₂enh₁-{1},amphidynamic root-present,Celtic,air.,false,-ana,"bleibt, wartet, hört auf",4,"4: *anā- kontaminiert aus *ana- < *h₂énh₁- und *nā- < *h₂n̥h₁-, s. MCCONE 110.","[air. -ana ‘bleibt, wartet, hört auf’{4}"
2854,*h₂enh₁-{1},amphidynamic root-present,Germanic,got.,false,*-anan,atmen,5,5: Aus dem Prät. (s.u.) zu erschließen.,[got. *-anan ‘atmen’{5}
2855,*h₂enh₁-{1},amphidynamic root-present,Tocharian,ger.,false,anāṣṣäṃ,atmet ein,6,"6: /ana-/ < *h₂enh₁- mit *-sk̑e- erweitert, vgl. K. T. SCHMIDT, FS NEUMANN 367.",[toch.B anāṣṣäṃ ‘atmet ein’{6}
2856,*h₂enh₁-{1},sigmatic aorist,Indic,ved.,false,prá-ānit,hat geatmet,7,"7: In 2s/3s = Ipf., vgl. NARTEN 86, eindeutig Aor. āniṣur AV.",ved. prá-ānit ‘hat geatmet’{7}
2857,*h₂enh₁-{1},sigmatic aorist,Celtic,air.,false,anais,"blieb, wartete, hörte auf",8,8: Vgl. MCCONE 110-1.,"air. anais, -an ‘blieb, wartete, hörte auf’{8}"
2858,*h₂enh₁-{1},sigmatic aorist,Celtic,-an,"blieb, wartete, hörte auf",false,8,,,"air. anais, -an ‘blieb, wartete, hörte auf’{8}"
2859,*h₂enh₁-{1},R(e)-i̯e-present,Albanian,?,false,ënj,blase (auf),9,9: HULD 155; vgl. auch KLINGENSCHMITT 256-715.,?## alb. ënj ‘blase (auf)’{9}
2860,*h₂enh₁-{1},perfect,Indic,ved.,false,sám,hat geatmet,,,"ved. sám āna RV 10,55,5 ‘hat geatmet’"
2861,*h₂enh₁-{1},perfect,Indic,āna,hat geatmet,false,,,,"ved. sám āna RV 10,55,5 ‘hat geatmet’"
2862,*h₂enh₁-{1},perfect,Germanic,got.,hauchte aus,uz-on,,,,got. uz-on ‘hauchte aus’
2863,?*h₂enk̑-{1},acrodynamic root present,Anatolian,unknown,false,heth. hikzi,"teilt zu, überreicht",Stamm henk-{2},Stamm henk-{2},"heth. hikzi ‘teilt zu, überreicht’, Stamm henk-{2}"
2864,*h₂enk-,amphidynamic root-present,Anatolian,ger.,false,hēkta,verbeugt sich,2,"2: Mit ē nach hēnk-zi ‘zuteilen’, 3s aheth. auf -ta und -a, s. OETTINGER 172-3, 176-7; wird auchals *‘sich anbieten’ zu hēnk-zi (s. *h₂enk̑-) gestellt. Problematisch sind allerdings aheth. Belege mit haink-, die auf ursprünglichen Diphthong weisen könnten; MELCHERT, SHHP 23-446 hat daher ein Kompositum *h₃o-(h₁)enk- > *ha-ink- angesetzt, akzeptiert jedoch in AHP 141 die Erklärung als umgekehrte Schreibung ⟨a-i⟩ für [ē].",[heth. hēkta/hinga ‘verbeugt sich’{2}
2865,*h₂enk-,amphidynamic root-present,Anatolian,ger.,false,hinga,verbeugt sich,2,"2: Mit ē nach hēnk-zi ‘zuteilen’, 3s aheth. auf -ta und -a, s. OETTINGER 172-3, 176-7; wird auchals *‘sich anbieten’ zu hēnk-zi (s. *h₂enk̑-) gestellt. Problematisch sind allerdings aheth. Belege mit haink-, die auf ursprünglichen Diphthong weisen könnten; MELCHERT, SHHP 23-446 hat daher ein Kompositum *h₃o-(h₁)enk- > *ha-ink- angesetzt, akzeptiert jedoch in AHP 141 die Erklärung als umgekehrte Schreibung ⟨a-i⟩ für [ē].",[heth. hēkta/hinga ‘verbeugt sich’{2}
2866,*h₂enk-,amphidynamic root-present,Indic,ved.,false,acāmi,biege; schöpfe,,,[ved. acāmi ‘biege; schöpfe’
2867,*h₂enk-,R(e)-e-present,Indic,ved.,false,añca-,biegen; schöpfen,3,"3: Wohl Neubildung, viell. unter Einfluß von Nominalformen mit aṅk-, añc-, vgl. GOTŌ 91 [jedoch kaum aus augmentierten Formen von *h₂n̥k-e-, da diese lautgesetzlich zu *aHaḱ° > ved. †āc° führen mußten]; die Wurzel bedeutet im Ved. mit Präverbien auch ‘(Wasser) schöpfen’, was wohl (gegen OETTINGER 176-7; EWAia I 53) ñ in Anbetracht der identischen Stammbildung ñ aus ‘biegen’ sekundär differenziert ist; vgl. HOFFMANN, KZ 79 (1965) 171-4 = Aufs. 162-5.",ved. (AV) añca- ‘biegen; schöpfen’{3}
2868,*h₂ens-{1},perfect,Anatolian,heth.,false,hāsi,"zeugt, gebiert",,,"[heth. hāsi ‘zeugt, gebiert’, 3p hassanzi{2}"
2869,*h₂ens-{1},perfect,Anatolian,heth.,false,hassanzi,,2,"2: Mit Reduplikationsverlust; es ist fraglich, ob ein altes Perfekt vorliegt, viell. muß mit einer Neubildung gerechnet werden. Zur analogischen Entstehung des Allomorphs hās- s. OFITSCH, l.c. 159.","[heth. hāsi ‘zeugt, gebiert’, 3p hassanzi{2}"
2870,?*h₂ent-{1},zero-grade i̯é-present,Greek,gr.,false,ἄττομαι,zettle Gewebe an,2,"2: Mit sekundärem tt statt erwartetem †ss, vgl. SCHWYZER 320.",gr. att. ἄττομαι ‘zettle Gewebe an’{2}
2871,?*h₂ent-{1},zero-grade i̯é-present,Albanian,?,false,end,webt,3,"3: < *antit < *h₂n̥ti̯et, vgl. KLINGENSCHMITT 1138; dazu wohl auch ven ‘webt’ ← *v-end-n, s. ibid. Dagegen nach DEMIRAJ 166-7 mit ven ‘webt’ zu *Heu̯-.",?alb. end ‘webt’{3}
2872,*h₂ep-,full-grade root stative,Anatolian,aheth.,false,"soll sich fügen, soll passen",,{2},{2},"aheth. happaru ‘soll sich fügen, soll passen’{2}"
2873,1.*h₂er-{0},root aorist,Indic,ved.,false,sám aranta,fügen sich zusammen,2,"2: Im Iir. mit anderen *Her-Wurzeln zusammengefallen, wobei oft nur semantisch unterschie-den werden und die Stammbildung von jeder der Wurzeln stammen kann; vgl. HARÐARSON 199-200; KÜMMEL, Koll. Erlangen 254-5; 263-4. Im Aorist mit durchgeführter R(e).",?[ved. sám aranta ‘fügen sich zusammen’{2}
2874,1.*h₂er-{0},root aorist,Iranian,jav.,false,arā̊ṇte,setzen sich fest,3,"3: Hypercharakterisierter Konj.; s. HARÐARSON, l.c. Nach KÜMMEL, Koll. Erlangen 263-4 besser zu 2ar- < *h₁er- ‘gelangen’.","?[jav. arā̊ṇte V. 15,4 ‘setzen sich fest’{3}"
2875,1.*h₂er-{0},root aorist,Greek,gr.,false,ἄρμενος,passend,4,"4: < *‘angefügt’, s. HARÐARSON 199.",gr. ἄρμενος ‘passend’{4}
2876,1.*h₂er-{0},néu̯-present,Indic,ved.,false,r̥ṇóṣ,fügen,2,"2: Im Iir. mit anderen *Her-Wurzeln zusammengefallen, wobei oft nur semantisch unterschie-den werden und die Stammbildung von jeder der Wurzeln stammen kann; vgl. HARÐARSON 199-200; KÜMMEL, Koll. Erlangen 254-5; 263-4. Im Aorist mit durchgeführter R(e).","?ved. 2s Inj. r̥ṇóṣ, 3p Ind. r̥ṇvánti ‘fügen’{2}"
2877,1.*h₂er-{0},néu̯-present,Indic,ved.,false,r̥ṇvánti,fügen,,,"?ved. 2s Inj. r̥ṇóṣ, 3p Ind. r̥ṇvánti ‘fügen’{2}"
2878,1.*h₂er-{0},néu̯-present,Armenian,arm.,false,ar̄nem,mache,5,"5: Umbildung von *h₂r̥nu- zu *h₂r̥nH- mit folgender Thematisierung im Vorurarm. nach KLEINGENSCHMITT 163. Besser nach PRAUST 34-6: ar̄ne- < *arnu̯e-, thematisiert aus 3p *arnu̯enti < *h₂r̥-nu̯-énti.",[arm. ar̄nem ‘mache’{5}
2879,1.*h₂er-{0},perfect,Greek,gr.,false,ἀρήρει,war zusammengefügt,6,"6: Bei Homer v.a. Ptz. ἀραρώς, ἀραρυῖα mit unklarem arăr° für *arār° > †ἀρηρ° (nach Aor. ἀραρεῖν?).",[gr. hom. ἀρήρει ‘war zusammengefügt’{6}
2880,1.*h₂er-{0},reduplicated aorist,Armenian,arm.,false,arari,machte,,,{7}## arm. arari ‘machte’
2881,1.*h₂er-{0},reduplicated aorist,Greek,gr.,false,ἔραρον,fügte,8,8: Dazu neues Präsens ἀραρίσκω.,gr. ἔραρον ‘fügte’{8}
2882,1.*h₂er-{0},s-aorist,Greek,gr.,false,ἔρσα,fügte,,,gr. ἔρσα ‘fügte’
2883,2.*h₂er-,root aorist,Armenian,arm.,false,ar̄i,nahm,,,arm. ar̄i ‘nahm’
2884,2.*h₂er-,root aorist,Greek,gr.,false,ἀρόμην,erlangte,2,2: Die augmentierten Formen sind sigmatisch: ἤρατο usw.; zum Problem vgl. LfgrE 1328.,[gr. ἀρόμην ‘erlangte’{2}
2885,2.*h₂er-,néu̯-present,Iranian,jav.,false,-ərənaot̰,zuteilen,3,"3: Im Medium ‘zuteil werden’, wohl ursprünglich passivisch ‘zugeteilt werden’; könnte aber auch als faktitives ‘wohin gelangen lassen’ zu *h₁er- ‘wohin gelangen’ gehören, so nach KÜMMEL, Perfekt 617-8.","?jav. -ərənaot̰, ərənuuaiṇti ‘zuteilen’{3}"
2886,2.*h₂er-,néu̯-present,Iranian,jav.,false,ərənuuaiṇti,zuteilen,,,"?jav. -ərənaot̰, ərənuuaiṇti ‘zuteilen’{3}"
2887,2.*h₂er-,néu̯-present,Armenian,arm.,false,ar̄nowm,nehme,4,"4: Wohl refl. Medium, vgl. KLINGENSCHMITT 247-8.",arm. ar̄nowm ‘nehme’{4}
2888,2.*h₂er-,néu̯-present,Greek,gr.,false,ἄρνυμαι,suche zu erlangen,5,5: Reflexives Medium des fakt. Nasalpräsens: ‘teile mir zu’.,gr. ἄρνυμαι ‘suche zu erlangen’{5}
2889,2.*h₂er-,perfect,Iranian,āav.,false,ārōi,ist zugeteilt,6,"6: Patientiv zum aktiven Präsens. Ein altes Perf. müßte ‘hat erworben, besitzt’ bedeuten; vgl. KÜMMEL, Perfekt 616-8.",?aav. ārōi ‘ist zugeteilt’{6}
2890,?3.*h₂er-{1},amphidynamic root-present,Indic,ved.,false,ā́-aryanti,erkennen an,3,"3: Nur im Sandhi mit ā́ belegt, daher ist die Stammgestalt unsicher; auch ein Denom. ār-yá- bzw. ar-yá- ist möglich, vgl. RIX, l.c. 333-4.",?[ved. ā́-aryanti ‘erkennen an’{3}
2891,?3.*h₂er-{1},iterative,Slavic,russ.,false,orú,laut schreien,4,"4: Von der Wurzelbedeutung ist nur das Merkmal ‘laut’ erhalten, s. RIX, l.c. 334. –","[russ. orú, (orát') ‘laut schreien’{4},## skr. òri se, òriti ‘widerhallen’{5}"
2892,?3.*h₂er-{1},iterative,Slavic,russ.,laut schreien,"orát', false'",,,,"[russ. orú, (orát') ‘laut schreien’{4},## skr. òri se, òriti ‘widerhallen’{5}"
2893,?3.*h₂er-{1},iterative,Slavic,skr.,false,òri se,widerhallen,5,"5: Vgl. RIX, l.c. 334.","[russ. orú, (orát') ‘laut schreien’{4},## skr. òri se, òriti ‘widerhallen’{5}"
2894,?3.*h₂er-{1},iterative,Slavic,skr.,false,òriti,widerhallen,,,"[russ. orú, (orát') ‘laut schreien’{4},## skr. òri se, òriti ‘widerhallen’{5}"
2895,?3.*h₂er-{1},perfect,Italic,osk.,false,urust,wird öffentlich gesprochen haben,6,"6: Suppl. zum Denom. *ūrā- = lat. ōrāre, vgl. RIX, l.c. 335, 347. Ein altes Perfekt erscheint semantisch kaum sinnvoll, so daß eine urital. Neubildung (zum verloren gegangenen primären Präs.) anzunehmen ist.",[osk. Fut. ex. urust ‘wird öffentlich gesprochen haben’{6}
2896,*h₂erH-{1},root aorist,Tocharian,"""toch.B",false,āra,hörte auf,"None""","None""","toch.B āra, A ār ‘hörte auf’, Konj. B āraṃ, A āraṣ{2}"
2897,*h₂erH-{1},root aorist,Tocharian,"""toch.A",false,ār,hörte auf,"None""","None""","toch.B āra, A ār ‘hörte auf’, Konj. B āraṃ, A āraṣ{2}"
2898,*h₂erH-{1},root aorist,Tocharian,"""toch.B",false,āraṃ,,"None""","None""","toch.B āra, A ār ‘hörte auf’, Konj. B āraṃ, A āraṣ{2}"
2899,*h₂erH-{1},root aorist,Tocharian,"""toch.A",false,āraṣ{2},,"None""","None""","toch.B āra, A ār ‘hörte auf’, Konj. B āraṃ, A āraṣ{2}"
2900,*h₂erH-{1},éi̯e-causative–iterative,Anatolian,?,false,heth. harrai,"zermalmt, stößt ab",3,"3: Med. auch ‘verloren gehen, unbrauchbar werden’; möglicherweise erst sekundär hi-Verb, vgl. OETTINGER 505-6, jedoch eher altes Kausativ als e-Präsens; Verbindung mit *h₂erh₃- ‘pflügen’ semantisch schwieriger.","?[heth. harrai ‘zermalmt, stößt ab’{3}"
2901,*h₂erH-{1},éi̯e-causative–iterative,Slavic,aksl.,false,orjǫ,niederziehen,,,"aksl. (+) orjǫ, oriti ‘niederziehen’, raz- ‘zerstören’"
2902,*h₂erH-{1},éi̯e-causative–iterative,Slavic,aksl.,false,oriti,niederziehen,,,"aksl. (+) orjǫ, oriti ‘niederziehen’, raz- ‘zerstören’"
2903,*h₂erH-{1},éi̯e-causative–iterative,Slavic,aksl.,false,raz-,zerstören,,,"aksl. (+) orjǫ, oriti ‘niederziehen’, raz- ‘zerstören’"
2904,*h₂erH-{1},s-aorist,Tocharian,toch.B,false,orasta,du verließt,4,4: o durch Umlaut oder sekundären Ablaut urtoch. *o : *a < *ā : *a? Jedenfalls Neubildung von einer Aniṭ-Basis.,toch.B orasta ‘du verließt’{4}
2905,*h₂erH-{1},n-infix present,Baltic,lit.,false,inrù/yrù,"sich auflösen, sich trennen",5,5: Baltische Neubildung (produktiver Fientivtyp).,"lit. inrù/yrù, (ìrti) ‘sich auflösen, sich trennen’{5}"
2906,*h₂erH-{1},se-present,Tocharian,toch.B,false,ārṣäṃ,"verläßt, gibt auf",6,6: Toch. Faktitivneubildung. Dazu das s-Prät. und ein athem. Konj. oräñ-c (Opt. āri) mit unklarem o (*ār- < Perfekt *h₂e-h₂r- oder analogische Ablautneuerung?).,"toch.B ārṣäṃ, A āräṣ ‘verläßt, gibt auf’{6}"
2907,*h₂erH-{1},se-present,Tocharian,A,false,āräṣ,"verläßt, gibt auf",,,"toch.B ārṣäṃ, A āräṣ ‘verläßt, gibt auf’{6}"
2908,*h₂erH-{1},essive,Tocharian,proto-germ.,false,*h₂erH-,"dissolve, disappear",,,"toch.B orotär, A aratär ‘hört auf’{7}"
2909,*h₂erh₃-{1},full-grade i̯e-present,Greek,gr.,false,ἀρόω,pflüge,2,"2: < *aroi̯e-; für Umbildung aus einem Wurzelpräsens gibt es keine Indizien. Falls im Gr. *H > Ø /Ci̯ gilt, ist mit analogischer Übertragung von *aro- aus dem Aor. zu rechnen.",gr. ἀρόω ‘pflüge’{2}
2910,*h₂erh₃-{1},full-grade i̯e-present,Italic,lat.,false,arō,pflügen,3,"3: < *arai̯e-, s. RINGE, Laryngaltheorie 425; MEISER, Habil. §143; RIX, GS SCHINDLER 522-3.","lat. arō, -āre ‘pflügen’{3}"
2911,*h₂erh₃-{1},full-grade i̯e-present,Celtic,"""air.""","""false""","""-air""","""pflügt""","""4""","""4""",air. -air ‘pflügt’{4}
2912,*h₂erh₃-{1},full-grade i̯e-present,Germanic,ahd.,false,erien,pflügen,5,"5: Vermutlich lautgesetzlich, während in der 3. schwachen Klasse auf *-h₁i̯e- der funktional belastete Laryngal länger erhalten blieb und daher *-ai-/*-ja- resultierte, s. HARÐARSON, FT Innsbruck 331 mit Anm. 20. Das ahd. Prät. iarun weist auf eine Wurzelform *arr- < *h₂erh₃- /__V; im Got. kein Prät. belegt, sonst im Germ. schwach flektiert.",ahd. (+) erien ‘pflügen’{5}
2913,*h₂erh₃-{1},full-grade i̯e-present,Baltic,lit.,false,ariù,pflügen,,,"lit. ariù, (árti) ‘pflügen’"
2914,*h₂erh₃-{1},full-grade i̯e-present,Baltic,lit.,false,árti,pflügen,,,"lit. ariù, (árti) ‘pflügen’"
2915,*h₂erh₃-{1},full-grade i̯e-present,Slavic,aksl.,false,orjǫ,pflügen,,,"aksl. (+) orjǫ, (orati) ‘pflügen’"
2916,*h₂erh₃-{1},full-grade i̯e-present,Slavic,aksl.,false,orati,pflügen,,,"aksl. (+) orjǫ, (orati) ‘pflügen’"
2917,*h₂erh₃-{1},sigmatic aorist,Anatolian,?,false,heth,bricht/brach die Erde auf,6,"6: Hierher nach MELCHERT, Sprache 33 (1987) 27-8; AHP 73 und KIMBALL,MSS 53 (1992[94]) 92; 94-5; dagegen nach OETTINGER 192-3 zu ved. r̥ṣá- (s. *Hers), nach PUHVEL III 185 (mit Lit.) Lehnwort aus dem Semit., wogegen KIMBALL, l.c. 9266.","?heth. haraszi, hārasta ‘bricht/brach die Erde auf’{6}"
2918,*h₂erh₃-{1},sigmatic aorist,Anatolian,,false,hārasta,bricht/brach die Erde auf,,,"?heth. haraszi, hārasta ‘bricht/brach die Erde auf’{6}"
2919,*h₂erh₃-{1},sigmatic aorist,Greek,gr.,false,ἤροσα,pflügte,(Hes.),(Hes.),gr. (Hes.+) ἤροσα ‘pflügte’
2920,*h₂erh₃-{1},sigmatic aorist,Celtic,air.,false,-ara,soll pflügen,,,air. Konj. -ara ‘soll pflügen’
2921,*h₂erh₃-{1},perfect,Greek,gr.,false,ἀρηρομένη,gepflügt,,,gr. hom. ἀρηρομένη ‘gepflügt’
2922,*h₂erk/k̑-,amphidynamic root-present,Anatolian,gr.,false,ἔφαγον,aß (auf),3,3,"heth. harzi, harkanzi ‘halten, haben’{1}"
2923,*h₂erk/k̑-,amphidynamic root-present,Anatolian,ved.,false,bhájati,teilt zu,,,"heth. harzi, harkanzi ‘halten, haben’{1}"
2924,*h₂erk/k̑-,amphidynamic root-present,Anatolian,ved.,false,bhájate,bekommt Anteil,,,"heth. harzi, harkanzi ‘halten, haben’{1}"
2925,*h₂erk/k̑-,amphidynamic root-present,Anatolian,alit.,false,bė́gmi,"laufen, fliehen",,,"heth. harzi, harkanzi ‘halten, haben’{1}"
2926,*h₂erk/k̑-,amphidynamic root-present,Anatolian,lit.,false,bė́gu,"laufen, fliehen",,,"heth. harzi, harkanzi ‘halten, haben’{1}"
2927,*h₂erk/k̑-,amphidynamic root-present,Anatolian,arm.,true,bekanem,breche,3,3,"heth. harzi, harkanzi ‘halten, haben’{1}"
2928,*h₂erk/k̑-,full-grade éi̯e-present,Italic,lat.,false,arceō,verschließen; fernhalten,2,"2: Falls ar < *h₂r̥ nicht lautgesetzlich, mit analog. R(e) oder Reduktionsstufe *h₂er-. Gr. ἀρκέω ‘wehre ab, helfe’ ist dagegen Denom. zu ἄρκος n. ‘Abwehr’ (außerpräsentische Basis arkes-), vgl. KLINGENSCHMITT 236-7.","lat. arceō, -ēre ‘verschließen; fernhalten’{2}"
2929,*h₂es-{1},root aorist,Anatolian,pal.,false,hasānti,werden satt,,,pal. hasānti ‘werden satt’
2930,1.*h₂et-{1},full-grade e-present,Indic,ved.,false,atasi,wanderst,,,ved. atasi ‘wanderst’
2931,?2.*h₂et-{1},root aorist,Anatolian,het.,false,hattari,"sticht, schlägt",2,"2: Alt nur Stativ, viell. haplologisch aus Medium *hattatta(ri)?; jungheth. umgebildet zum Aktiv hattai, vgl. OETTINGER, l.c. 124-5.","heth. hattari ‘sticht, schlägt’{2}"
2932,?2.*h₂et-{1},full-grade i̯e-present,Anatolian,heth.,false,hazzizzi,"trifft, schlägt",3,"3: S. OETTINGER, l.c. 125.","heth. hazzizzi ‘trifft, schlägt’{3}"
2933,?2.*h₂et-{1},sk̑é-present,Anatolian,het.,,hazzikkezzi,schlägt (jeweils),4,"4: Auch verdeutlicht zu hazziske-, OETTINGER, l.c. 125.",heth. hazzikkezzi ‘schlägt (jeweils)’{4}
2934,*h₂eu̯-{1},full-grade e-present,Albanian,?,false,ha,ißt,3,"3: Vgl. HULD 72, 151. Nach OREL 140-1 mit Lit. jedoch zu *h₁ed-, s.d.",?alb. ha ‘ißt’{3}
2935,*h₂eu̯-{1},iterative,Indic,ved.,false,ā́vayat,aß,4,"4: Suppl. 3s Ipf. zu átti, vgl. HOFFMANN, MSS 41 (1982) 63-7 = Aufs. 769-73; dazu nominal avasá- ‘Wegzehrung’ (= av. auuaŋ́ha-), *aviṣ- in aviṣ-yánt- ‘nach Nahrung verlangend’.",ved. ā́vayat ‘aß’{4}
2936,*h₂eu̯-{1},iterative,Italic,Information: '[lat. aueō,,-ēre ‘begehren’{5}',,,,"[lat. aueō, -ēre ‘begehren’{5}"
2937,*h₂eu̯-{1},iterative,Italic,language,questionable,reflex,meaning,notes,notes,"[lat. aueō, -ēre ‘begehren’{5}"
2938,*h₂eu̯-{1},iterative,Italic,lat.,false,aueō,begehren,5,5: Mit analog. R(e) oder mit lat. Übergang *ou̯ > au̯?,"[lat. aueō, -ēre ‘begehren’{5}"
2939,*h₂eu̯-{1},iterative,Italic,lat.,false,-ēre,,5,5: Mit analog. R(e) oder mit lat. Übergang *ou̯ > au̯?,"[lat. aueō, -ēre ‘begehren’{5}"
2940,*h₂eu̯g-,full-grade e-present,Germanic,"""ger.""","""false""","""aukan""","""sich mehren""","""{2}""","""{2}""","got. aukan ‘sich mehren’{2}, an. (+) auka ‘vermehren’"
2941,*h₂eu̯g-,full-grade e-present,Germanic,"""ger.""","""false""","""auka""","""vermehren""","""(+)""","""(+)""","got. aukan ‘sich mehren’{2}, an. (+) auka ‘vermehren’"
2942,*h₂eu̯g-,full-grade e-present,Baltic,lit.,false,áugu,wachsen,,,"lit. áugu, (áugti) ‘wachsen’"
2943,*h₂eu̯g-,full-grade e-present,Baltic,lit.,false,áugti,,,,"lit. áugu, (áugti) ‘wachsen’"
2944,*h₂eu̯g-,sigmatic aorist,Italic,lat.,false,auxī,vermehrte,,,lat. auxī ‘vermehrte’
2945,*h₂eu̯g-,éi̯e-causative–iterative,Italic,lat.,false,augeō,vermehren,3,"3: Mit sekundärer R(e), nach dem s-Aorist?","[lat. augeō, -ēre ‘vermehren’{3}"
2946,*h₂eu̯g-,essive,Baltic,litt.,false,pa-ūgiù,heranwachsen,,,"lit. pa-ūgiù, -ūgė́ti ‘heranwachsen’"
2947,*h₂eu̯g-,essive,Baltic,litt.,false,-ūgė́ti,heranwachsen,,,"lit. pa-ūgiù, -ūgė́ti ‘heranwachsen’"
2948,*h₂eu̯H-{1},root aorist,Armenian,arm.,false,agaw,zog sich etw. an,2,2: Mit R(e) aus dem Aktiv.,arm. agaw ‘zog sich etw. an’{2}
2949,*h₂eu̯H-{1},root aorist,Italic,lat.,false,induī,zog etw. an/aus,3,"3: Wenn < *uH-, doch eher analog. Neubildung zum Präs.",?lat. induī/exuī ‘zog etw. an/aus’{3}
2950,*h₂eu̯H-{1},root aorist,Italic,lat.,false,exuī,zog etw. an/aus,3,"3: Wenn < *uH-, doch eher analog. Neubildung zum Präs.",?lat. induī/exuī ‘zog etw. an/aus’{3}
2951,*h₂eu̯H-{1},root aorist,Slavic,aksl.,false,ob-ušę,zogen (Schuhe) an,4,4: Skr. 2s/3s }bū spricht für alten Wurzelaorist *ob-utъ; sonst zum s-Aorist umgebildet.,[aksl. ob-ušę ‘zogen (Schuhe) an’{4}
2952,*h₂eu̯H-{1},nasal-infix present,Armenian,arm.,false,aganim,ziehe mir etw. an,6,6: Thematisiert aus *h₂au̯-n̥-H-; vgl. KLINGENSCHMITT 177.,[arm. aganim ‘ziehe mir etw. an’{6}
2953,*h₂eu̯H-{1},nasal-infix present,Baltic,lit.,false,aunù,Fußbekleidung anziehen,7,"7: *aũna- < *(h₂)au̯-n-ə-, zirkumflektierte Intonation vom Präsensstamm auf das restliche Paradigma übertragen: Inf. aũti statt *áuti usw.","[lit. aunù, (aũti) ‘Fußbekleidung anziehen’{7}"
2954,*h₂eu̯H-{1},nasal-infix present,Baltic,lit.,false,aũti,,,,"[lit. aunù, (aũti) ‘Fußbekleidung anziehen’{7}"
2955,*h₂eu̯H-{1},full-grade e-present,Italic,lat.,false,ind-/exuō,an-/ausziehen,8,8: Nach KLINGENSCHMITT 175 viell. Rückbildung zum PPP -ūtus.,"lat. ind-/exuō, -ere ‘an-/ausziehen’{8}"
2956,*h₂eu̯H-{1},R(e)-i̯e-present,Slavic,aksl.,false,ob-ujǫ,(Schuhe) anziehen,,,"aksl. (+) ob-ujǫ, (-uti) ‘(Schuhe) anziehen’"
2957,*h₂eu̯H-{1},R(e)-i̯e-present,Slavic,aksl.,false,-uti,(Schuhe) anziehen,,,"aksl. (+) ob-ujǫ, (-uti) ‘(Schuhe) anziehen’"
2958,*h₂eu̯s-,zero-grade i̯é-present,Anatolian,pal.,false,hussinta,sie schöpfen,1,"1: S. EICHNER, GS KRONASSER 1813.",pal. 3p Med. hussinta ‘sie schöpfen’{1}
