,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
9,blat-,ahd.,blabizōn,plаppеrn,"Vgl. mit z. T. ähnlicher Bed. bhlē̆d- `aufsprudeln, schwatzen', bhel- `schallen' und bal-, bal-bal- unter baba- (z. B. lit. blebénti mit dem nhd. plappern ähnlicher Bildung).",,to prattle,"Compare with partially similar meaning bhlē̆d- 'to bubble up, chatter', bhel- 'to sound' and bal-, bal-bal- under baba- (e.g. Lithuanian blebénti with a similar formation as German 'plappern')."
10,blat-,mndd.,plūderen,plаppеrn,"Vgl. mit z. T. ähnlicher Bed. bhlē̆d- `aufsprudeln, schwatzen', bhel- `schallen' und bal-, bal-bal- unter baba- (z. B. lit. blebénti mit dem nhd. plappern ähnlicher Bildung).",,to prattle,"Compare with partially similar meaning bhlē̆d- 'to bubble up, chatter', bhel- 'to sound' and bal-, bal-bal- under baba- (e.g. Lithuanian blebénti with a similar formation as German 'plappern')."
11,blat-,mhd.,plūdern,"to chat, prattle","Vgl. mit z. T. ähnlicher Bed. bhlē̆d- `aufsprudeln, schwatzen', bhel- `schallen' und bal-, bal-bal- unter baba- (z. B. lit. blebénti mit dem nhd. plappern ähnlicher Bildung).",,"to chat, prattle","Compare with partially similar meaning bhlē̆d- 'to bubble up, chatter', bhel- 'to sound' and bal-, bal-bal- under baba- (e.g. Lithuanian blebénti with a similar formation as German 'plappern')."
12,blat-,nhd.,plaudern,"to chat, prattle","Vgl. mit z. T. ähnlicher Bed. bhlē̆d- `aufsprudeln, schwatzen', bhel- `schallen' und bal-, bal-bal- unter baba- (z. B. lit. blebénti mit dem nhd. plappern ähnlicher Bildung).",,"to chat, prattle","Compare with partially similar meaning bhlē̆d- 'to bubble up, chatter', bhel- 'to sound' and bal-, bal-bal- under baba- (e.g. Lithuanian blebénti with a similar formation as German 'plappern')."
,,,,,,,,
,,,,,,,,
,,,,,,,,
0,blē-,Gr.,βληχάομαι,blöken',,,to bleat,
1,blē-,Gr.,βληχή,das Blöken.',,,bleating,
2,blē-,russ.,blekati,blöken',(alt),,to bleat,"(alt)"" [UNKNOWN]"
3,blē-,russ.,blekotátь,blöken',,,to bleat,
4,blē-,mndd.,"bleken,","blöken, bellen', daraus nhd. blöken",,,"to bleat, to bark', from which modern German ""blöken"" (bleating)",
5,blē-,mndd.,blöken,"blöken, bellen', daraus nhd. blöken",,,"to bleat, to bark', from which modern German ""blöken"" (bleating)",
6,blē-,norw. mdartl.,blækta,blöken',(*blēkatjan),,to bleat,(*blēkatjan [UNKNOWN])
7,blē-,alb.,bl'egrás,blöken,,,to bleat,
0,"brangh-, brongh-?",Gr.,βράγχος,Heiserkeit,,,hoarseness,
1,"brangh-, brongh-?",Gr.,βραγχάω,bin heiser,,,I am hoarse,
2,"brangh-, brongh-?",air.,brong(a)ide,heiser,,,hoarse,
3,"brangh-, brongh-?",Gr.,ἔβραχε,krachte,aber gr. Aor. ἔβραχε `krachte' bleibt wohl fern.,,cracked,aber gr. Aor. ἔβραχε `krachte' bleibt wohl fern. [UNKNOWN]
0,breuq-,gr,βροῦκος,Heuschrecke,,,grasshopper,
1,breuq-,gr,βρεῦκος,Heuschrecke,,,grasshopper,
2,breuq-,gr,βραῦκος,Heuschrecke,,,grasshopper,
3,breuq-,gr,βρύκος,Heuschrecke,βροῦχος wohl nach βρύ̄χω 'knirsche mit den Zähnen',,grasshopper,βροῦχος wohl nach βρύ̄χω 'grind with the teeth'
4,breuq-,sloven,br̂knem,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",,,"to strike with the feet, to kick, to flick away with the fingers",
5,breuq-,sloven,bŕkniti,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",,,"to strike with the feet, to kick, to flick away with the fingers",
6,breuq-,sloven,br̂kam,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",,,"to strike with the feet, to kick, to flick away with the fingers",
7,breuq-,sloven,bŕkati,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",,,"to strike with the feet, to kick, to flick away with the fingers",
8,breuq-,sloven,bŕcati,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",,,"to strike with the feet, to kick, to flick away with the fingers",
9,breuq-,russ,brykátь,mit den Hinterfüßen ausschlagen,,,to kick with the hind feet,
10,breuq-,klr,brykáty,"mutwillig herumspringen, laufen",,,"to frolic, to run around mischievously",
0,2. bhag-,Kret.,φάγρος,"Wetzstein, ἀκόνη, φοξός 'spitzköpfig' (aus *φαξός nach λοξός 'schief'?)",wird von Lidén Arm.-St. 57 ff. mit arm. bark,,"whetstone, ἀκόνη, φοξός 'having a pointed head' (from *φαξός according to λοξός 'lopsided'?)",is referred to by Lidén Arm.-St. 57 ff. as Armenian bark
,,,,,,,,
2,2. bhag-,Arm.,bark,"herb, bitter, scharf von Geschmack; heftig, zornig","könnte = φάγρος sein, doch kann auch zu idg. *bhorgʷo-s gehören",link w/ other root,"herb, bitter, sharp in taste; fierce, angry","könnte = φάγρος sein, doch kann auch zu idg. *bhorgʷo-s gehören"
0,"bhāso-, or bhēso-",Ai.,bhāsa-ḥ,ein bestimmter Raubvogel,,,a specific bird of prey,
1,"bhāso-, or bhēso-",gr. hom.,φήνη,"eine Adlerart, wahrscheinlich Vultur monachus",,,"a type of eagle, probably Vultur monachus",
1,"bhāso-, or bhēso-",gr. att.,φήνη,"eine Adlerart, wahrscheinlich Vultur monachus",,,"a type of eagle, probably Vultur monachus",
2,"bhāso-, or bhēso-",gr. hom. att.,*bhās-nā,(large bird of prey),auch *bhānā (zu bhā-1) wäre möglich,,(large bird of prey),auch *bhānā (zu bhā-1) wäre möglich
3,"bhāso-, or bhēso-",gr. hom. att.,*bhēs-nā,(large bird of prey),auch *bhānā (zu bhā-1) wäre möglich,,(large bird of prey),auch *bhānā (zu bhā-1) wäre möglich
0,bhēgh- : bhōgh-,Gall.,bāgaudae,aufständische Guerillas,"Suffix wie in alauda, bascauda",,insurgent guerillas,"Suffix like in alauda, bascauda"
1,bhēgh- : bhōgh-,air.,bāgaid,"kämpft, prahlt, droht",,,"fights, boasts, threatens",
2,bhēgh- : bhōgh-,air.,bāg,Kampf,,,battle,
3,bhēgh- : bhōgh-,mcymr.,bwyo,schlagen,(*bāgi̯-),,to hit,(*bāgi̯-) [UNKNOWN]
4,bhēgh- : bhōgh-,mcymr.,kymwy,Streit,mir. combāg ds.,,"argument, dispute",mir. combāg ds. [UNKNOWN]
5,bhēgh- : bhōgh-,mcymr.,-boawc,kriegerisch,mir. bāgach,,warlike,mir. bāgach [UNKNOWN]
6,bhēgh- : bhōgh-,cymr.,bai,Fehler,"falls cymr. bai `Fehler', beio `tadeln' dazu gehört, müßte es idg. *bhəgh- enthalten",,"error, mistake","if Welsh bai 'error', beio 'blame' belongs to it, it should contain idg. *bhəgh-"
7,bhēgh- : bhōgh-,cymr.,beio,tadeln,"falls cymr. bai `Fehler', beio `tadeln' dazu gehört, müßte es idg. *bhəgh- enthalten",,to blame,"if Welsh bai 'error', beio 'blame' belongs to it, it should contain idg. *bhəgh-"
8,bhēgh- : bhōgh-,ahd.,"bāgan, (bāgēn?)","zanken, streiten",,,"to quarrel, to argue",
9,bhēgh- : bhōgh-,aisl.,"aisl. bāga, bǣgja","adversari, resistere",,,"opponents, resist",
10,bhēgh- : bhōgh-,ahd.,bāga,"Zank, Streit",,,"quarrel, dispute",
11,bhēgh- : bhōgh-,as.,bāg,Prahlerei,,,boasting,
12,bhēgh- : bhōgh-,mhd.,"bāc, -ges","lautes Schreien, Streit",,,"loud shouting, quarrel",
13,bhēgh- : bhōgh-,ahd.,"aisl. bāge, bāgi",Gegner,,,"opponent, adversary",
14,bhēgh- : bhōgh-,ahd.,bāgr,"schwierig, verdrießlich, hinderlich","falls die germ. Sippe nicht aus dem Kelt. entlehnt ist, ist Ablaut germ. ē : kelt. ā (idg. ō) anzunehmen",,"difficult, disagreeable, obstructive","if the Germanic tribe is not borrowed from the Celtic one, it is assumed that there is Ablaut from  Germanic ē : Celtic ā (Indo-European ō)"
15,bhēgh- : bhōgh-,lett.,buôztiês,sich ärgern,"*bhōgh-, Endzelin KZ. 52, 118",,to get annoyed,"*bhōgh-, Endzelin KZ. 52, 118 [UNKNOWN]"
16,bhēgh- : bhōgh-,russ.,bazel,Schreier,"Scheftelowitz KZ. 54, 242",,"shouter, crier","Scheftelowitz concentration camp. 54, 242"
17,bhēgh- : bhōgh-,russ.,bazgala,boshaft,"Scheftelowitz KZ. 54, 242",,"malicious, wicked","Scheftelowitz concentration camp. 54, 242"
18,bhēgh- : bhōgh-,toch.,В pakwāre,schlecht,"Adverb, *bhəgh-, Van Windekens Lexique 85",vielleicht,"bad, poor","Adverb, *bhəgh-, Van Windekens Lexique 85"
19,bhēgh- : bhōgh-,toch.,A pkänt,Hindernis,"*bhəgh-, Van Windekens Lexique 96",,"obstacle, hindrance","*bhəgh-, Van Windekens Lexique 96 [UNKNOWN]"
,,,,,,,,
0,2. bhel-,Gall.,belinuntia,Apollinaris,f. (illyr. ?); zum Namen des Apollo Belenos (s.oben __bhel-1__),,,f. (Illyrian ?); related to the name of Apollo Belenos (see above __bhel-1__)
,2. bhel-,Gall.,βελένιον,Apollinaris,n.; zum Namen des Apollo Belenos (s.oben __bhel-1__),,,n.; related to the name of Apollo Belenos (see above __bhel-1__)
,2. bhel-,ags.,beolone,henbane,*bhelunā,,,*bhelunā [UNKNOWN]
,2. bhel-,as.,bilene,henbane,,,,
,2. bhel-,dän.,bylne,henbane,tiefstuf. älter (germ. \*bul-n-),,,"lower level, older (germ. \*bul-n-)"
,2. bhel-,dän.,bølme,henbane,,,,
,2. bhel-,schwed.,bolmört,henbane,,,,
,2. bhel-,nhd. dial.,bilme,henbane,aber ahd. \bil(i)sa ist wohl kelt. Lw. (vgl. aprov. \belsa),,,but ahd. \bil(i)sa is probably Celtic Lw. (cf. aprov. \belsa)
,,,,,,,,
,,,,,,,,
2,2. bhel-,r.-ksl.,belenъ,henbane,"slav. \*belena-, \*belenā",,henbane,"slav. \*belena-, \*belenā [UNKNOWN]"
3,2. bhel-,russ.,belená,henbane,"slav. \*belena-, \*belenā",,henbane,"slav. \*belena-, \*belenā [UNKNOWN]"
,,,,,,,,
5,2. bhel-,slov.,blèn,henbane,slav. \*belnъ,,henbane,slav. \*belnъ [UNKNOWN]
6,2. bhel-,ačech.,blén,henbane,slav. \*belnъ,,henbane,slav. \*belnъ [UNKNOWN]
,,,,,,,,
8,2. bhel-,skr.,bûn,henbane,tiefstuf. slav. \*bьlnъ,,henbane,tiefstuf. Slavic *bьlnъ [UNKNOWN]
0,bh(e)lāg-,lat.,flaccus,schlaff,Hierher (offenbar mit expressiver Gemination),,,Here (apparently with expressive gemination)
,,wruss.,błáhyj,"`schlecht, häßlich'","\*bhlāg- oder \*bhlōg-; daraus lett. \blāgs, lit. \blõgas `kraftlos, schwach' entlehnt",,,"\*bhlāg- or \*bhlōg-; from this Latvian \blāgs, Lithuanian \blõgas borrowed 'powerless, weak'"
,,wruss.,błažić,`tollen',,,,
,,grruss.,blagój,"`starrköpfig, häßlich'",,,,
,,grruss.,blažnój,`dumm',dial.,,,dial.
,,poln.,błagi,"`schlecht, nichts wert'","kaum zu gr. φελγύνει · ἀσυνετεί, ληρεῖ Hes., da das slav. Wort auf schwere, das griech. auf leichte Basis weist; s. unter __(s)p(h)elg-__",,,"kaum zu gr. φελγύνει · ἀσυνετεί, ληρεῖ Hes., da das slav. Wort auf schwere, das griech. auf leichte Basis weist; s. unter __(s)p(h)elg-__ [UNKNOWN]"
,,,,,,,,
0,bhend-,Ai.,bhandatē,"empfängt jauchzenden Zuruf, wird gepriesen, glänzt",,,"receives jubilant acclaim, is praised, shines",
1,bhend-,Ai.,bhándiṣṭha-ḥ,"am lautesten jauchzend, gellend, am besten preisend",,,"shouting the loudest, clamorous, best praising",
2,bhend-,Ai.,bhandána-ḥ,jauchzend,,,jubilant,
3,bhend-,Ai.,bhandánā,"lustiges Tönen, Jauchzen",die Bedeutungen z. T. bezweifelt,,"cheerful sound, jubilation",the meanings are partly doubted
4,bhend-,air.,bind,melodisch,schwundstufig,,melodious,dwindling stage
4,bhend-,mir.,bind,melodisch,schwundstufig,,melodious,dwindling stage
5,bhend-,abret.,bann,canora,,,canora 'tuneful',
0,7. bher-,Hom.,φᾆρος,"Tuch, Leinwand, Hülle, Decke'",n. (*φαρϝος),,"cloth, canvas, covering, blanket",n. (*φαρϝος) [UNKNOWN]
0,7. bher-,att.,φάρος,"Tuch, Leinwand, Hülle, Decke'",n. (*φαρϝος),,"cloth, canvas, covering, blanket",n. (*φαρϝος) [UNKNOWN]
1,7. bher-,Hom.,φάραι,"ὑφαίνειν, πλέκειν",(?) Hes.,,"ὑφαίνειν 'to weave', πλέκειν 'to knit'",(?) Hes. [UNKNOWN]
2,7. bher-,Hom.,φορμός,"Tragkorb, Matte'",,,"basket, mat",
3,7. bher-,lit.,burva,eine Art Kleidungsstück',(-u̯- Suffix wie in gr. *φαρϝος),,a type of garment,(-u̯- suffix as in Greek *φαρϝος)
4,7. bher-,lett.,burves,kleine Segel',(-u̯- Suffix wie in gr. *φαρϝος), ,small sails,(-u̯- suffix as in Greek *φαρϝος)
5,7. bher-,lett.,buras,Segel,,,sail,
6,7. bher-,lit.,bùrė,Segel',S. zum Vokalismus Walde Streitberg-Festschrift 176.,,sail,S. on vowelism Walde Streitberg-Festschrift 176.
0,"bherug-, bhrug-, bhorg-",Arm.,erbuc,"Brust, Bruststück von geschlachteten Tieren",*bhrugo-,,"Breast, breast piece of slaughtered animals",*bhrugo- [UNKNOWN]
1,"bherug-, bhrug-, bhorg-",gr.,"φάρυξ, -υγος","Luftröhre, Schlund","später φάρυγξ, -υγγος",,"Trachea, throat","später φάρυγξ, -υγγος [UNKNOWN]"
2,"bherug-, bhrug-, bhorg-",lat.,frūmen,"Kehlkopf, Schlund",*frū̆g-smen,,"Voice box, throat",*frū̆g-smen [UNKNOWN]
3,"bherug-, bhrug-, bhorg-",aisl.,barki,Hals,"ohne u, bhor-g-, formell näher zu φάραγξ 'Kluft, Abgrund'",,Neck,"without u, bhor-g-, formally closer to φάραγξ 'chasm, abyss'"
4,"bherug-, bhrug-, bhorg-",lit.,burna,Mund,"eigentl. 'Öffnung', zu bher- 'schneiden' unter einer Anschauung 'Kluft = Schlund'",,Mouth,"eigentlich 'opening', from bher- 'to cut' under the notion of 'chasm = abyss'"
5,"bherug-, bhrug-, bhorg-",arm.,beran,Mund,"eigentl. 'Öffnung', zu bher- 'schneiden' unter einer Anschauung 'Kluft = Schlund'",,Mouth,"eigentlich 'opening', from bher- 'to cut' under the notion of 'chasm = abyss'"
0,"2. bheug-, bheugh-",Av.,"baog-, bunja-","lösen, retten, sich retten vor","bunjainti 'sie befreien, retten', būjayamnō 'ablegend', bunjayāt̃ 'er rette'",,"solve, save, save oneself from","bunjainti 'to free, save', būjayamnō 'laying down', bunjayāt̃ 'she saves'"
1,"2. bheug-, bheugh-",Av.,būjim,Reinigung,Akk.,,Cleaning,[UNKNOWN]
2,"2. bheug-, bheugh-",Av.,ązō-buj-,aus Not befreiend,,,liberating from distress,
3,"2. bheug-, bheugh-",Av.,baoxtar-,Befreier,,,liberator,
4,"2. bheug-, bheugh-",Pehl. Paz.,bōxtan,"retten, erlösen",,,"save, redeem",
5,"2. bheug-, bheugh-",Südbal.,bōjag,"öffnen, lösen, losbinden",,,"open, release, untie",
6,"2. bheug-, bheugh-",Arm.,bužem,"heile, rette, befreie",pers. Lw.,,"heal, save, liberate",pers. Lw. [UNKNOWN]
7,"2. bheug-, bheugh-",Arm.,boiž,"Heilung, Befreiung",pers. Lw.,,"Healing, liberation",pers. Lw. [UNKNOWN]
8,"2. bheug-, bheugh-",Pāli,paribhuñjati,"reinigt, kehrt aus",,,"cleans, sweeps out",
9,"2. bheug-, bheugh-",Pāli,bhujissa-,freigelassen (von früheren Sklaven),"ai. bhujiṣyà- 'frei, unabhängig' (Lex., in der Lit. als 'nutzbar', Subst. 'Diener(in)'), zu bheug-4.",,released (by former slaves),"ai. bhujiṣyà- 'free, independent' (Lex., in literature as 'usable', noun 'servant'), from bheug-4."
10,"2. bheug-, bheugh-",Illyr.,Buctor,PN,av. baoxtar-,,Private message,av. baoxtar- [UNKNOWN]
11,"2. bheug-, bheugh-",Ven.,Fuctor,PN,av. baoxtar-,,Private message,av. baoxtar- [UNKNOWN]
12,"2. bheug-, bheugh-",Ven.,Fugonia,PN,,,Private message,
13,"2. bheug-, bheugh-",Ven.,vhuχia,PN,,,Private message,
14,"2. bheug-, bheugh-",Ven.,vhou-χontios,PN,,,Private message,
15,"2. bheug-, bheugh-",Got.,usbaugjan,"ausfegen, auskehren",ar. g- auch bei bheugh- (nhd. biegen): bheug- (ai. bhujati usw.) 'biegen'. Wohl identisch damit.,,"sweep, sweep up",ar. g- also with bheugh- (nhd. biegen): bheug- (ai. bhujati etc.) 'to bend'. Probably identical with it.
16,"2. bheug-, bheugh-",Nhd. Dial.,Bocht,"Kehricht, Mist",,,"Garbage, crap",
17,"2. bheug-, bheugh-",Mhd.,biuchen,in Lauge kochen,ursprgl. 'reinigen',,cook in lye,originally 'clean'
18,"2. bheug-, bheugh-",Mhd.,būche,Lauge,mit sekund. Ablaut,,Lye,with secondary ablaut
,,,,,,,,
0,bhidh-,gr.,πίθος n.,"Faß, Weinfaß",,,"Barrel, wine barrel",
1,bhidh-,gr.,πιθάκνη,"Faß, Weinfaß",,,"Barrel, wine barrel",
1,bhidh-,att.,φιδάκνη,"Faß, Weinfaß",,,"Barrel, wine barrel",
2,bhidh-,lat.,fidēlia,"irdenes Gefäß, Topf",(*fides-liā),,"earthenware vessel, pot",(*fides-liā) [UNKNOWN]
3,bhidh-,aisl.,biða,Milchkübel,f.,vermutlich,milk bucket,f. [UNKNOWN]
4,bhidh-,norw.,bide,Butterfaß,"n., *bidjan",,Butter barrel,"n., *bidjan [UNKNOWN]"
5,bhidh-,norw.,bidne,Gefäß,n.,,Vessel,n. [UNKNOWN]
6,bhidh-,lat.,fiscus,"geflochtener Korb; Geldkorb, Kasse","aus *bhidh-sko-, für unsere Sippe eine Grundbed. `geflochtenes Gefäß' erschlossen werden darf, gehört sie wohl zu einer Wz. bheidh- `binden, flechten'.",,"woven basket; money basket, cash register","from *bhidh-sko-, it may be deduced as a basic meaning for our tribe ""woven vessel"", it likely belongs to a root bheidh- ""to bind, weave""."
7,bhidh-,lat.,fiscina,geflochtener Korb,"aus *bhidh-sko-, für unsere Sippe eine Grundbed. `geflochtenes Gefäß' erschlossen werden darf, gehört sie wohl zu einer Wz. bheidh- `binden, flechten'.",,woven basket,"from *bhidh-sko-, it may be deduced as a basic meaning for our tribe ""woven vessel"", it likely belongs to a root bheidh- ""to bind, weave""."
0,bhleiq-,Ags.,bǣlge (*blaigi̯ōn-),Gründling,,,Gudgeon,
1,bhleiq-,mnl.,blei(g),Fischnamen,,,Fish names,
1,bhleiq-,mnd.,blei(g),Fischnamen,,,Fish names,
2,bhleiq-,mnl.,bleger,Fischnamen,,,Fish names,
2,bhleiq-,mnd.,bleger,Fischnamen,,,Fish names,
3,bhleiq-,nhd.,"Bleihe, Blei",Fischnamen,,,Fish names,
4,bhleiq-,mhd.,blicke,Cyprinus,,,Cyprinus,
5,bhleiq-,nhd.,Blicke,Fischnamen,"norw. dial. blekka, nhd. Blecke 'Weißfisch' von der e-Wz. bhleg-?",,Fish names,"norw. dial. blekka, nhd. Blecke 'whitefish' from the PIE root bhleg-?"
6,bhleiq-,aisl.,blīgr,starr und stier hinsehend,,,staring and gazing intently,
7,bhleiq-,aisl.,blīgja,hinstarren,,,to stare,
8,bhleiq-,russ.,blëknutь,"bleichen, verschießen, welken",,,"bleach, fade, wither",
9,bhleiq-,russ.,blëklyj,"fahl, matt, welk",,,"pale, dull, withered",
10,bhleiq-,russ.,blëkotъ,"Gleisse, Aethusa cynapium",,,"Fool's parsley, Aethusa cynapium",
11,bhleiq-,poln.,blaknąć,"verschießen, verbleichen",,,"shoot, fade",
0,bhleus-,Schwed. mdartl.,bloslin,schwächlich,,,weak,
1,bhleus-,norweg.,blyr,"mild, lau",,,"mild, tepid",
2,bhleus-,norweg.,bløyra,"Schwächling, Feigling",,,"Weakling, coward",
3,bhleus-,nhd. schwäb.,blūsche(n),"langsam, träge",,,"slow, sluggish",
4,bhleus-,lit.,apsi-blausti,"verzagen, traurig werden",,,"despair, become sad",
0,bhləido-s,Aksl.,blědъ,"bleich, blaß'","/= ags. blāt `bleich, bleifarben",,"pale, pallid","/= ags. blāt `pale, lead-colored"
,,,,,,,,
2,bhləido-s,Ags.,blāt,"bleich, bleifarben'","/= Aksl. blědъ`bleich, blaß",,"pale, lead-colored","/= Aksl. blědъ`bleich, pale"
3,bhləido-s,Ahd.,bleizza,Blässe',,,Paleness,
4,bhləido-s,Lit.,blaĩvas,nüchtern',Vielleicht aus *blaid-vas; oder von der unerw. Wz. bhlei-,Vielleicht,sober,Maybe from *blaid-vas; or from the unverified root bhlei-
5,bhləido-s,Lit.,"blaivaũs, -ýtis","nüchtern werden; sich aufklären, vom Himmel'",,D = blaivaũs,"become sober; enlighten oneself, from Heaven",
,,,,,,,,
7,bhləido-s,Alb.,bl̃erónj,grüne',von einem Adj. *bl̃erë aus *bled-rë (e = idg. ai oder oi),,green,from an adjective *bl̃erë derived from *bled-rë (e = Indo-European ai or oi)
8,bhləido-s,Alb.,bl̃éhurë,"blaß, bleich'",,,"pale, pallid",
9,bhləido-s,Illyr.,Blaedarus,"pale, light",Dazu wohl der illyr. PN Blaedarus.,wohl,"pale, light",Probably the Illyrian personal name Blaedarus.
0,bhlos-q-,Ir.,blosc,Lärm,vgl. auch brosc ds. unter *bhres-,,Noise,see also brosc etc. under *bhres-
,,,,,,,,
,,,,,,,,
3,bhlos-q-,lit.,"blą́zgu, -ė́ti",klappern,,,rattling,
4,bhlos-q-,lit.,blą́zginti,"klappern, rasseln",,,"rattling, clattering",
,,,,,,,,
0,bholo-,air.,bolad,Geruch,es kann idg. bhol- zugrunde liegen,,Smell,it may be based on idg. bhol-
1,bholo-,nir.,boladh,Geruch,es kann idg. bhol- zugrunde liegen,,Smell,it may be based on idg. bhol-
2,bholo-,nir.,baladh,Geruch,es kann idg. bhol- zugrunde liegen,,Smell,it may be based on idg. bhol-
3,bholo-,lett.,buls,"dunstige schwüle Luft, Höhenrauch, Dürre",es kann idg. bh↓↓e↓↓l- zugrunde liegen,,"hazy sultry air, altitude smoke, drought",it can be based on idg. bh↓↓e↓↓l-
4,bholo-,lett.,bula,"dunstige schwüle Luft, Höhenrauch, Dürre",es kann idg. bh↓↓e↓↓l- zugrunde liegen,,"hazy sultry air, altitude smoke, drought",it can be based on idg. bh↓↓e↓↓l-
5,bholo-,arm.,bal,caligo,wenn ursprgl. 'Dunst',vielleicht,fog,wenn ursprgl. 'Dunst'
0,bhorgu̯o-s,Arm.,bark,"heftig, zornig; herb, bitter, scharf von Geschmack",*bhr̥gʷos,,"intense, angry; strong, bitter, sharp in taste",*bhr̥gʷos [UNKNOWN]
1,bhorgu̯o-s,air.,borb,töricht,,,foolish,
2,bhorgu̯o-s,air.,borp,töricht,,,foolish,
3,bhorgu̯o-s,mir.,borb,"roh, unwissend","*burbo-, idg. *bh↓↓o↓↓rgʷo-",,"raw, unknowing","*burbo-, idg. *bh↓↓o↓↓rgʷo- [UNKNOWN]"
4,bhorgu̯o-s,lett.,bar̂gs,"streng, hart, unfreudlich, unbarmherzig",,,"strict, harsh, unfriendly, merciless",
5,bhorgu̯o-s,schwed. mdartl.,bark,eigensinniger unfreundlicher Mensch,,,stubborn unfriendly person,
6,bhorgu̯o-s,schwed. mdartl.,barkun,"rauh, barsch",,,"rough, abrupt",
0,bhoudhi-,Air.,búaid,Sieg,FN,,Victory,FN [UNKNOWN]
1,bhoudhi-,Air.,Boudicca,die Siegreiche,,,the victorious,
2,bhoudhi-,Air.,budd,Gewinn,,,Profit/Win,
3,bhoudhi-,Air.,buddig,siegreich,*bhoudhīko- = air. búadach',,victorious,*bhoudhīko- = air. búadach' [UNKNOWN]
4,bhoudhi-,Air.,búadach,siegreich,*bhoudhīko- = air. buddig',,victorious,*bhoudhīko- = air. buddig' [UNKNOWN]
5,bhoudhi-,Agerm.,Baudi-hillia,Siegeskämpferin,GN,F = GN,Victory fighter,[UNKNOWN]
0,bhouku̯os,Lat.,fūcus,"Brutbiene, Drohne",-ī m.,,"Breeder bee, drone",-ī masculine.
,,,,,,,,
2,bhouku̯os,ags.,béaw,Bremse,,,Brake,
3,bhouku̯os,ndd.,bau,Bremse,,,Brake,
0,bhred(h?)-,Thrak.,Bρέδαι,ON,,,ON,
1,bhred(h?)-,lig.,Brodionti,VN,,,VN,
2,bhred(h?)-,gall.,Bredanna,FlN,,,AI,
3,bhred(h?)-,frz.,La Brenne,FlN,,,AI,
4,bhred(h?)-,gall.,Bροδεντία,ON,Bayern,,ON,Bavaria
5,bhred(h?)-,Alb.,breth,hüpfen,,,jump,
6,bhred(h?)-,Alb.,brodha,hüpfen,,,jump,
7,bhred(h?)-,Lit.,bredù,waten,ostlit. brendù,,wade,ostlit. brendù [UNKNOWN]
,,,,,,,,
9,bhred(h?)-,Lit.,bridaũ,waten,,,wade,
10,bhred(h?)-,Lit.,brìsti,waten,,,wade,
11,bhred(h?)-,Lit.,"bradaũ, -ýti",waten,Iter.,,wade,Iter. [UNKNOWN]
12,bhred(h?)-,Lit.,brastà,Furt (kotige),,,Ford (muddy),
13,bhred(h?)-,Lit.,brastvà,Furt (kotige),,,Ford (muddy),
14,bhred(h?)-,Lit.,bradà,Schlamm,,,Mud,
15,bhred(h?)-,Lit.,brãdas,Fischfang,/= slav. brodъ,,Fishing,/ = Slavic brodъ
16,bhred(h?)-,Lit.,brỹdis,"das Waten, Gang ins Wasser","mit sek. Ablaut, m.",,"wading, walk into the water","with secondary ablaut, masculine."
17,bhred(h?)-,Lit.,"braidaũ, -ýti",fortgesetzt umherwaten,Iter.,,continued to wade around,Iter. [UNKNOWN]
18,bhred(h?)-,Lett.,brìenu,waten; mit Füßen treten; Albernes sprechen,(mdartl. brìedu = ostlit. brendù),,wade; trample with feet; speak nonsense,(mdartl. brìedu = east Lithuanian brendù)
19,bhred(h?)-,Lett.,bridu,waten; mit Füßen treten; Albernes sprechen,,,wade; trample with feet; speak nonsense,
20,bhred(h?)-,Lett.,brist,waten; mit Füßen treten; Albernes sprechen,,,wade; trample with feet; speak nonsense,
21,bhred(h?)-,Lett.,bradât,waten; mit Füßen treten; Albernes sprechen,Iter.,,wade; trample with feet; speak nonsense,Iter. [UNKNOWN]
22,bhred(h?)-,Lett.,braslis,Furt,m.,,Ford,m.
23,bhred(h?)-,Lett.,brìdis,"Weile, kurze Zeit",m.,,"While, short time",m.
24,bhred(h?)-,Apr.,Chucunbrast,des Teufels Durchfahrt,,,the devil's passage,
25,bhred(h?)-,Lit.,birdà,nasser Kot,Schwundstufe ir = *r̥',,wet feces,Weak grade ir = *r̥'
26,bhred(h?)-,Apr.,Birdaw,Seename,Schwundstufe ir = *r̥',,Lake name,Weak grade ir = *r̥'
27,bhred(h?)-,Russ.-ksl.,bredu,durch eine Furt waten,"(tiefstufig Präs. *brьdǫ in neprěbrъdomъ `nicht durchwatbar', Aor. pribrьde, vgl. ačech. přěbrde `wird durchwaten', poln. brnąć `waten' aus *brьdnǫti)",,wading through a ford,"(deep-level present *brьdǫ in neprěbrъdomъ 'not passable', aor. pribrьde, cf. Czech přěbrde 'to wade through', Polish brnąć 'to wade' from *brьdnǫti)"
