,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
20,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",mir.,mul,"Kugel, Klumpen",\*molu-\,,"Ball, lump","*molu-\"" [UNKNOWN]"
21,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",mir.,mul-lach,"Gipfel, Scheitel",,,"Summit, Apex",
22,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",abrit.,Μαλαιος,Inselname,,,Island name,
23,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",abrit.,Malea,Inselname,Insula (Adamnán),,Island name,Insula (Adamnán) [UNKNOWN]
24,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",neugael.,Muile,Mull,Island name,,Garbage,Island name
25,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",lett.,mala,"Rand, Ufer, Gegend",,,"Edge, bank, area",
26,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",lit.,lýg-mala,Höhe des Randes,,,Height of the edge,
27,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",serb.,"ìz-molīm, iz-mòlīti",hervorzeigen,kausatives 'hervorkommen lassen',,to show off,causatives 'to let emerge/bring forth'
,,,,,,,,,
29,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",slov.,molíti,"hinstrecken, hinhalten",,,"to reach out, to hold out",
30,"mel-8, melə- : mlō-","8. mel-, melə- : mlō-",slov.,molė́ti,"ragen, hervorragen",,,"to protrude, to excel",
0,melĝh-,melg̑h-,ai.,malhá-,mit Zäpfchen an der Wamme (von Kuh und Ziege),,,with suppositories on the udder (of cow and goat),
1,melĝh-,melg̑h-,arm.,małj,Galle,"Gen. \-i\; \*ml̥ĝhi-\, ursprüngl. wohl 'Gallenblase'",,Bile,"Gen. \-i\; \*ml̥ĝhi-\, originally probably 'gallbladder'"
2,melĝh-,melg̑h-,av.,mər↑↑ə↑↑zāna,Bauch,,↑↑ for superscript?,Stomach,
3,melĝh-,melg̑h-,lit.,mil̃žinas,Riese,,,Giant,
4,melĝh-,melg̑h-,lett.,mil̂zis,Riese,,,Giant,
5,melĝh-,melg̑h-,lett.,mel̂zu,"schwellen, schwären",,,"swell, fester",
6,melĝh-,melg̑h-,lett.,mil̂z,"schwellen, schwären",,,"swell, fester",
0,melk-1,1. melk-,lat.,"mulceō, -ēre, mulsī, -sum","streichen, streicheln, liebkosen, besänftigen",,,"stroke, caress, fondle, appease",
1,melk-1,1. melk-,lat.,mulcetra,Hēliotropium (Pflanze mit giftlindernder Wirkung),,,Heliotope (plant with antivenom properties),
2,melk-1,1. melk-,lat.,mulcēdo,Anmut,,,Grace,
3,melk-1,1. melk-,lat.,Mulciber,GN,WH. II 120,,Good night,WH. II 120 [UNKNOWN]
4,melk-1,1. melk-,lat.,"mulcō, -āre","übel zurichten, mißhandeln",Streiche versetzen',,"mistreat, abuse",Shift pranks'
0,"melōdh- (molədh-, m↓↓o↓↓lədh-)","melōdh-, molədh-, molədh-",ai.,mūrdhán-,Kopf,m.,,Head,m.
1,"melōdh- (molədh-, m↓↓o↓↓lədh-)","melōdh-, molədh-, molədh-",av.,ka-mərəδa-,Kopf daēvischer Wesen,eigentlich 'was für ein Kopf',,Head of devilish beings,eigentlich 'was für ein Kopf' [UNKNOWN]
2,"melōdh- (molədh-, m↓↓o↓↓lədh-)","melōdh-, molədh-, molədh-",gr.,βλωθρός,"hoch aufschießend, hoch gewachsen",\*mlodh-rós\ oder \*m↓↓o↓↓lədhrós\ mit idg- \ḹ\,,"towering, tall",\*mlodh-rós\ or \*m↓↓o↓↓lədhrós\ with idg- \ḹ\
3,"melōdh- (molədh-, m↓↓o↓↓lədh-)","melōdh-, molədh-, molədh-",gr.,βλαστός,"Sproß, Trieb",\*mlədh-tos\,,"Sprout, shoot","\*mlədh-tos\"""" [UNKNOWN]"
4,"melōdh- (molədh-, m↓↓o↓↓lədh-)","melōdh-, molədh-, molədh-",gr.,μέλαθρον,"Stubendecke, Dach",\*melədhrom\,,"Living room ceiling, roof",*melədhrom [UNKNOWN]
5,"melōdh- (molədh-, m↓↓o↓↓lədh-)","melōdh-, molədh-, molədh-",ags.,molda,the top of the head,,,the top of the head,
6,"melōdh- (molədh-, m↓↓o↓↓lədh-)","melōdh-, molədh-, molədh-",afries.,meldke,Kopf,\*muldi-kō\,,Head,*muldi-kō [UNKNOWN]
7,"melōdh- (molədh-, m↓↓o↓↓lədh-)","melōdh-, molədh-, molədh-",toch.,malto,zuerst,,,first,
0,mels-,mels-,air.,mlas,Geschmack,"\*mlasto-\, wohl aus \*ml̥sto-\",,Taste,"\*mlasto-, probably from \*ml̥sto-"
1,mels-,mels-,nir.,blas,Geschmack,"\*mlasto-\, wohl aus \*ml̥sto-\",,Taste,"\*mlasto-, probably from \*ml̥sto-"
2,mels-,mels-,cymr.,blas,Geschmack,"\*mlasto-\, wohl aus \*ml̥sto-\",,Taste,"\*mlasto-, probably from \*ml̥sto-"
3,mels-,mels-,bret.,blaz,Geschmack,"\*mlasto-\, wohl aus \*ml̥sto-\",,Taste,"\*mlasto-, probably from \*ml̥sto-"
4,mels-,mels-,russ.,molsátь,"saugen, nagen",*mьlsati,,"suck, gnaw",*mьlsati [UNKNOWN]
5,mels-,mels-,čech.,mlsati,"lecken, naschen",,,"licking, snacking",
6,mels-,mels-,poln.,pomłoski,Leckerbissen,,,Treat,
0,membh-,membh-,gr.,μέμφομαι,tadle,,,reprimand,
1,membh-,membh-,gr.,μομφή,"Tadel, Vorwurf",,,"Criticism, accusation",
2,membh-,membh-,got.,bi-mampjan,"verspotten, verhöhnen","Zum got. \p\ vgl. Specht Idg. Dekl. 261, Anm. 1",,"mock, ridicule","For Gothic, see Specht Idg. Decl. 261, note 1."
3,membh-,membh-,air.,mebul,Schande,kelt. \-bl-\ aus \-mbl-\??,,Shame,Celtic \-bl-\ from \-mbl-\??
4,membh-,membh-,nir.,meabhal,Verrat,kelt. \-bl-\ aus \-mbl-\??,,Betrayal,Celtic \-bl-\ from \-mbl-\??
5,membh-,membh-,cymr.,mefl,Verrat,kelt. \-bl-\ aus \-mbl-\??,,Betrayal,Celtic \-bl-\ from \-mbl-\??
6,membh-,membh-,corn.,meul,Verrat,kelt. \-bl-\ aus \-mbl-\??,,Betrayal,Celtic \-bl-\ from \-mbl-\??
,,,,,,,,,
0,men-2,2. men-,ai.,carma-mnās,Gerber',Nom. Pl.,,Gerber,Nominative Plural
1,men-2,2. men-,äol.,μάτεισαι,tretende',(*μάτημι),,kicking,(*μάτημι [UNKNOWN])
2,men-2,2. men-,äol.,ματεῖ,πατεῖ,Hes.; Denom. von einem \mn̥-tós\ 'getreten',,He/she/it steps/walks.,Hes.; denom. of a \mn̥-tós\ 'trampled'
3,men-2,2. men-,cymr.,mathru,mit Füßen treten',,,to trample,
4,men-2,2. men-,bret.,mantra,mit Füßen treten',\*mn̥tr-\,,to trample,"*mn̥tr-"" [UNKNOWN]"
5,men-2,2. men-,gall.,-mantalon,('gestampfter) 'Weg',"in \Petro-mantalon\ 'vierfache Straße' (= Petru-), \Mantalo-magus\ 'Straßenfeld'",,('Pounded) Path',"in \Petro-mantalon\ 'fourfold road' (= Petru-), \Mantalo-magus\ 'street field'"
6,men-2,2. men-,phryg.,Μανταλος,ON,,,ON,
7,men-2,2. men-,mir.,men,"Mehl, Staub'",f.,,"Flour, dust",f. [UNKNOWN]
8,men-2,2. men-,lit.,"minù, mìnti","treten, Flachs brechen, Felle gerben'",,,"stomping, breaking flax, tanning hides.",
9,men-2,2. men-,lett.,"minu, mīt","treten, gerben'",,,"step, tan",
10,men-2,2. men-,abg.,"*mьnǫ, męti",zusammendrücken',,,to compress/to squeeze together,
11,men-2,2. men-,russ.,"mnu, mjatь","brechen (Flachs oder Hanf), kneten, treten (Lehm), zerknittern, zerknüllen'",,,"break (flax or hemp), knead, tread (clay), crumple, crinkle",
12,men-2,2. men-,gr.,μνίον,"Moos, Meergras'",,,"Moss, Seagrass",
,men-2,2. men-,gr.,"μνιαρός, μνιόεις",moosig,,,mossy,
13,men-2,2. men-,gr.,"μνόος, μνοῦς",weicher Flaum',*μνόϝος,,soft down,*μνόϝος [UNKNOWN]
14,men-2,2. men-,gr.,μνοῖον,μαλακόν,Hes.,,soft,Hes. [UNKNOWN]
15,men-2,2. men-,lit.,mìniava,"Flachsseide, Filzgras'",,,"Flax silk, felt grass",
0,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",alb.,ment,"säuge, sauge",,,"suckle, suck",
1,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",alb.,mezej,säuge,,,suckle,
2,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",alb.,"mes, mezi",Füllen,,,Fill,
3,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",alb.,mezat,"junger Stier, Tierjunges",,,"young bull, animal cub",
4,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",alb.,mezore,junge Kuh,\*mondi̯o-\,,young cow,"\*mondi̯o-\"" [UNKNOWN]"
5,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",illyr.,Menda,Stute,PN; f.; illyr. \mand-\ könnten auch idg. Ablaut \mn̥d-\ enthalten,,Mare,PN; feminine; Illyrian \mand-\ could also contain Indo-European ablaut \mn̥d-\
6,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",illyr.,Mandeta,,ablaut. PN; illyr. \mand-\ könnten auch idg. Ablaut \mn̥d-\ enthalten,,,ablaut. PN; Illyrian \mand-\ could also contain Indo-Germanic ablaut \mn̥d-\ .
7,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",illyr.,mandos,kleines Pferd,illyr. \mand-\ könnten auch idg. Ablaut \mn̥d-\ enthalten,,small horse,Illyrian \mand-\ could also contain Indo-European ablaut \mn̥d-\
8,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",lat.,mannus,kleines gall. Pferd,"dial., from \mandos\",,small Gaulish horse,"dial., from \mandos\ [UNKNOWN]"
9,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",messap.,Menzana,"Gott, dem Pferde geopfert wurden","\*mendi̯o-no-\, Juppiter",,"God, to whom horses were sacrificed","\*mendi̯o-no-, Juppiter [UNKNOWN]"
10,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",rom.,mandius,"Füllen, Rind",stammt aus dem Illyr.,,"Stuffing, beef",originates from Illyria.
11,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",rum.,minz,Füllen,,,Fill,
12,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",rum.,manzat,junge Kuh,,,young cow,
13,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",nhd.,"Manz, Menz",unfruchtbare Kuh,Tirol,,infertile cow,Tyrol
14,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",nhd.,Minzekalb,unfruchtbare Kuh,rheinländ.,,infertile cow,Rheinlandish.
15,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",bask.,mando,mulus,,,mule,
16,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",mir.,menn,"junges Tier, Kalb, Füllen",\*mendo-\,,"young animal, calf, foal","\*mendo-\"" [UNKNOWN]"
17,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",mir.,mennán,"junges Tier, Kalb, Füllen",,,"young animal, calf, foal",
18,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",mir.,bennán,"Kälbchen, Böcklein, Hirschlein",sekundär,,"Calf, little buck, little deer",secondary
19,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",nir.,binnseach,Zicklein,,,Kid (baby goat),
20,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",gael.,minnseach,Zicklein,,,Kid (baby goat),
21,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",cymr.,mynnan,kid,,,child,
22,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",corn.,min,haedus,,,kid,
23,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",bret.,menn,junges Tier,,,young animal,
24,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",bret.,menn gavr,Zicklein,,,Kid (baby goat),
25,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",gall.,Epo-manduo-durum,ON,gall. \mand-\ könnten auch idg. Ablaut \mn̥d-\ enthalten,,ON,gall. \mand- could also contain idg. ablaut \mn̥d-\
26,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",brit.,Mandu-essedum,ON,illyr. Lw.,,ON,illyrian. Air Force.
27,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",bair.,Mindel,FlN,wohl auch der bair. FlN,,AI,wohl auch der [UNKNOWN].
28,"mend-, mond- (mn̥d-?)","mend-, mond-, mn̥d-?",ahd.,manzon,"Zitze, Euter",m. Pl.,,"Teat, udder",m. Pl. [UNKNOWN]
,,,,,,,,,
,,,,,,,,,
0,meng-,meng-,ai.,"mañjú-, mañjulá-","schon, lieblich",,,"beautiful, lovely",
1,meng-,meng-,ai.,maṅgalá-,"gutes Omen, Glück",n.,,"good omen, luck",n. [UNKNOWN]
2,meng-,meng-,osset.,mäng,Betrug,,,Fraud,
3,meng-,meng-,gr.,μάγγανον,"Zaubermittel, Kriegsmaschine",n.,,"Magic potion, war machine",n. [UNKNOWN]
4,meng-,meng-,lat.,manganum,Maschine,entlehnt aus gr. μάγγανον,,Machine,borrowed from Greek μάγγανον
5,meng-,meng-,alb.,mangë,Hanfbreche,entlehnt aus gr. μάγγανον,,Hemp breaker,borrowed from Greek μάγγανον
6,meng-,meng-,mhd.,mange,Wurfmaschine,entlehnt aus gr. μάγγανον,,Throwing machine,borrowed from Greek μάγγανον
7,meng-,meng-,nhd.,Mange(l),Wäscherolle,entlehnt aus gr. μάγγανον,,laundry roller,borrowed from Greek μάγγανον
8,meng-,meng-,gr.,*μάγγων,betrugerischer Händler,daraus lat. \mangō\ `betrugerischer Händler',,fraudulent dealer,from Latin \mangō\ `deceptive merchant'
9,meng-,meng-,gr.,μαγγανεύω,betrüge,,,cheat,
10,meng-,meng-,mir.,meng,"Trug, List",,,"Deception, deceit",
11,meng-,meng-,mir.,mengach,verräterisch,,,treacherous,
12,meng-,meng-,nhd.,mange,mange,,,mange,
13,meng-,meng-,apr.,manga,Hure,stammt aus nhd. \mange\,,Whore,comes from Modern High German \mange\
14,meng-,meng-,lit.,mánga,ungezogene Person,stammt aus nhd. \mange\,,naughty person,comes from Modern High German \mange\
15,meng-,meng-,toch. A,maṅk,"Schuld, Fehler",,,"Guilt, mistake",
0,mer-1,1. mer-,gr.,"μέρμῑς, -ῑθος",Faden,f.,,Thread,f. [UNKNOWN]
1,mer-1,1. mer-,gr.,μηρύομαι,"wickle zusammen, wickle auf",dehnstufig,,"wrap together, wrap up",compensatory lengthening
2,mer-1,1. mer-,gr.,μήρινθος,"Faden, Schnur","σμήρινθος Plato mit sekundärem σ-, vorausgesetzt, daß μᾱρύεται Theokrit 1, 29 Hyperdorismus ist",,"Thread, string","σμήρινθος Plato with secondary σ-, assuming that μᾱρύεται Theocritus 1, 29 is Hyperdorism."
3,mer-1,1. mer-,aschwed.,merþi,Fisch-Reuse,,,Fish trap,
4,mer-1,1. mer-,aisl.,merð,Fisch-Reuse,,,Fish trap,
5,mer-1,1. mer-,gr.,βρόχος,"Strick, Schlinge, Masche","*μρόχος, Demin. βροχίς f., μόροττον 'Korb aus Rinde' (aus *μόραττον?)",,"Yarn, loop, stitch","*μρόχος, Demin. βροχίς f., μόροττον 'basket made of bark' (from *μόραττον?)"
6,mer-1,1. mer-,mir.,"braige, braga",Gefangener,,,Prisoner,
7,mer-1,1. mer-,lett.,mer̂ga,Geländer,ablaut. \marga\,,Railing,ablaut. \marga\ [UNKNOWN]
8,mer-1,1. mer-,lit.,márška,"Laken, Fischernetz",vielleicht falls aus \*morəgh-ska\,,"Sheet, fishing net",vielleicht falls aus *morəgh-ska
9,mer-1,1. mer-,aksl.,mrěža,"Netz, Schlinge",,,"Net, snare",
10,mer-1,1. mer-,russ.,merëža,"Netzsack, Beutelnetz","Demin. \merëžka\ 'Masche im Netz, feines Muster' (daraus zurückgebildet \merëga\ 'Gewebe, Geflecht, Stickerei')",,"Mesh bag, net bag","Demin. \merëžka\ 'mesh in a net, fine pattern' (derived from \merëga\ 'fabric, mesh, embroidery')"
11,mer-1,1. mer-,serb.,mrȅža,Netz,,,Network,
0,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",gr.,μόρυχος,σκοτεινός,,,dark,
1,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",gr.,μεμορυχμένος,(rauch)geschwärzt,,,(smoke)blackened,
2,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",lit.,moraĩ,Schimmel,pl.,,Mold,pl. [UNKNOWN]
3,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",russ.,"maráju, -tь","schmieren, verleumden",,,"smear, slander",
4,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",russ.,marúška,"Fleck, Mal",,,"Spot, Stain",
5,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",čech.,morous,aschfarbig gestreiftes Rind,,,ash-colored striped cow,
6,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",čech.,moratý,schwarz gestreift,,,black striped,
7,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",poln.,morus,Schmutzfink,,,Dirt pig,
8,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",poln.,morąg,bunt gestreift,\n\-Stamm,,colorful striped,-stem
9,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",gr.,μόρνον,εἶδος ἀετοῦ καὶ ξανθός ('schmutziggelb'),Hes.,,Species of an eagle and dirty yellow color,Hes. [UNKNOWN]
10,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",gr.,μορτός,μέλας φαιός,Hes.,,Blackish brown,Hes. [UNKNOWN]
11,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",arm.,mṙayl,"Dunkel, Nebel, Wolke; finster, dunkel",s-extension; \*muṙayl\ based on \*mor-so-\,vielleicht,"Dark, fog, cloud; gloomy, dark",s-extension; *muṙayl based on *mor-so-
12,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",arm.,maṙaxul,"dicker Dampf, Dunkel",s-extension; \*mr̥so-\,vielleicht,"thick steam, dark",s-extension; \*mr̥so-\ [UNKNOWN]
13,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",lit.,mùršinu,besudle,s-extension,vielleicht,besmirch,s-extension
14,"(mer-3), mor-(u)-","3. mer-, mor-(u-)",lit.,mùr(k)šlinu,"wasche, sudle",s-extension,vielleicht,"wash, sully",s-extension
0,"merədh-, mrādh-","merədh-, mrādh-",gr.,βράσσω,"siede, brause auf, worfle",*μρᾱθ-ι̯ω,,"boil, fizz, toss",*μρᾱθ-ι̯ω [UNKNOWN]
1,"merədh-, mrādh-","merədh-, mrādh-",att. gr.,βράττω,"siede, brause auf, worfle",*μρᾱθ-ι̯ω,,"boil, fizz, toss",*μρᾱθ-ι̯ω [UNKNOWN]
2,"merədh-, mrādh-","merədh-, mrādh-",att. gr.,ἔβρᾰσα,"siede, brause auf, worfle",Aor.,,"boil, fizz, toss",Aor. [UNKNOWN]
3,"merədh-, mrādh-","merədh-, mrādh-",ion. gr.,ἐκ-βρήσσω,"siede, brause auf, worfle",,,"boil, fizz, toss",
4,"merədh-, mrādh-","merədh-, mrādh-",gr.,βρασμός,das Sieden,,,boiling,
5,"merədh-, mrādh-","merədh-, mrādh-",lett.,mùrdêt,aufsprudeln,,,to bubble up,
6,"merədh-, mrādh-","merədh-, mrādh-",lett.,murdi,Sprudel,,,Sparkling water,
7,"merədh-, mrādh-","merədh-, mrādh-",lit.,"mùrdau, -yti",hineinstoßend versenken,,,sink in with a thrust,
0,merĝ-1,1. merg̑-,ai.,mr̥-ṇa-j-āni,"wischen, abstreifen",1. Sg. Konj.; s. auch unter _melĝ-_,,"wipe, strip off",1st person singular conjugation; see also under _melĝ-_
1,merĝ-1,1. merg̑-,ai.,mr̥ṇ̃jata,"wischen, abstreifen",3. Pl.; vgl. ὀμόργνυμι; s. auch unter _melĝ-_,,"wipe, strip off",3rd person plural; compare ὀμόργνυμι; see also under _melĝ-_
2,merĝ-1,1. merg̑-,arm.,meržem,"scaccio, espello",,,"I banish, I expel",
3,merĝ-1,1. merg̑-,gr.,ἀμέργω,"streife ab (Blätter, Früchte)",,,"strip off (leaves, fruits)",
4,merĝ-1,1. merg̑-,gr.,ἀμοργός,ausdrückend,,,expressing,
5,merĝ-1,1. merg̑-,gr.,ἀμόργη,mulsche Masse der ausgepreßten Oliven,daraus lat. amurca,,pulpy mass of pressed olives,daraus lat. amurca [UNKNOWN]
6,merĝ-1,1. merg̑-,gr.,ὀμόργνῡμι,wische ab; drücke aus,-ορ- wohl aus \-er-\ unter Einwirkung des folgenden υ,,wipe off; express,-ορ- probably from \-er-\ under the influence of the following υ
7,merĝ-1,1. merg̑-,lat.,"mergae, -ārum",Mähgabel,,,Hay fork,
8,merĝ-1,1. merg̑-,lat.,"merges, -itis",Garbe,Zusammengestreiftes,,Sheaf,Gathered
0,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lat.,"marceō, -ēre","welk, schlaff sein",,,"wilted, limp",
1,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lat.,marcidus,"welk, schlaff",,,"withered, limp",
2,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lat.,marcor,"Welkheit, Morschheit, Schlaffheit",,,"Wiltedness, decay, lethargy",
3,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",gall.,bracis,Getreideart zur Malzbereitung,,,Type of grain for malting.,
4,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",mir.,"mraich, braich","Malz, d. i. 'eingeweichtes, gequollenes Getreide'",,,"Malt, i.e. 'soaked, swollen grain'",
5,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",cymr.,brag,"Malz, d. i. 'eingeweichtes, gequollenes Getreide'",,,"Malt, i.e. 'soaked, swollen grain'",
6,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",gallorom.,*bracu-,Morast,./*mraku-/; slav. /*morky/ 'id.',,Quagmire,./*mraku-/; Slavic /*morky/ 'id.' [UNKNOWN]
7,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",cymr.,brag-wellt,Sumpfgras,,,Marsh grass,
8,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",gall.,mercasius,Sumpf,,,Marsh,
9,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",afrz.,marchais,Sumpf,,not sure if meaning is correct,Marsh,
10,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",gall.,embrekton,eingetunkter Bissen,daraus lat. \imbractum\,,dipped bite,from Latin \imbractum\
11,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",mir.,brēn,"morsch, faul",\*mrakno-\,,"rotten, lazy","*mrakno-"" [UNKNOWN]"
12,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",cymr.,braen,"morsch, faul",\*mrakno-\,,"rotten, lazy","*mrakno-"" [UNKNOWN]"
13,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",mhd.,mer(e)n,Brot in Wein oder Wasser eintunken,\*merhen\,,Dip bread in wine or water.,"\*merhen\"" [UNKNOWN]"
14,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",mnd.,meren,Brot in Wein oder Wasser eintunken,\*merhen\,,Dip bread in wine or water.,"\*merhen\"" [UNKNOWN]"
15,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lit.,"merkiù, mer̃kti",(Flachs) einweichen,,,(Soak) flax,
16,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lit.,"mirkstù, mir̃kti",im Wasser liegen,ablaut.,,to lie in the water,ablaut. [UNKNOWN]
17,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lit.,markýti,einweichen,,,to soak,
18,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lit.,markà,Flachsröste,,,Flax roasting,
19,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lett.,marks,Flachsröste,,,Flax roasting,
20,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lett.,mę̄̀rka,Feuchtigkeit,,,Moisture,
21,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",lett.,mḕrcêt,tunken,,,to dip,
22,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",klr.,morokvá,Morast,Umbildung aus \*morky\,,Quagmire,Transformation from *morky
23,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",wruss.,mjaréča,Morast,\*merki̯ā\,,Quagmire,*\merki̯ā\ [UNKNOWN]
24,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",Alb.,mardhem,"fröstle, schauere",,,"shiver, tremble",
25,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",Alb.,marth,starker Frost,m.; = slav. \*morzъ\,,strong frost,m.; = Slavic *morzъ
26,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",air.,meirc,Rost,nir. \meirg\,,Rust,nir. \meirg\ [UNKNOWN]
27,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",air.,mergach,runzlig,\*mergi-\,,wrinkled,[UNKNOWN]
28,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",nir.,meirgeall,Rauhheit,,,Roughness,
29,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",cymr.,merydd,"feucht, träge",,,"damp, sluggish",
30,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",cymr.,merddwfr,Brakwasser,,,Brackish water,
31,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",abret.,mergidhaam,hebesco,bret. \mergl\ 'Rost' ist ir. Lw.,,hebesco,bret. \mergl\ 'rust' is an ir. noun.
32,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",mhd.,murc,"morsch, welk",,,"rotten, withered",
33,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",aisl.,morkinn,"morsch, mürbe von Fäulnis",,,"rotten, tender from decay",
34,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",aisl.,morkna,morsch werden,,,to become rotten,
