,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
18,"kerəp-, krēp-","kerəp-, krēp-",gr.,"κρηπίς, -ῖδος",Schuh; Fundament eines Baues,lat. Lw. \crĕpĭda\,,Shoe; foundation of a building.,lat. Lw. \crĕpĭda\ [UNKNOWN]
0,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,ai.,kr̥śá-,"abgemagert, hager, schwächlich",,,"emaciated, gaunt, feeble",
1,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,ai.,kŕ̥śyati,magert ab,,,loses weight,
2,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,av.,kərəsa-,mager,,,lean,
3,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,lat.,cracentēs,graciles,"leg. \gracentēs\ 'graciles' zu \gracilis\ 'mager, schlank, dürr', dissim. aus \*cracilis\",,slender,"leg. \gracentēs\ 'graciles' to \gracilis\ 'thin, slim, lean', dissim. from \*cracilis\"
4,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,aisl.,horr,Magerkeit,*hurha-,,Emaciation,*hurha- [UNKNOWN]
5,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,lit.,karšė́ti,alt werden,,,growing old,
6,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,lit.,kárštu,alt werden,intensiv,,growing old,intensive
7,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,lit.,káršti,alt werden,,,growing old,
8,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,lit.,iškáršąs,vor Alter hinfällig,,,frail in old age,
9,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,lit.,káršė,Altersschwäche,,,Old age weakness,
10,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,lett.,nuo-kārst,"veralten, reif werden",,,"aging, becoming mature",
11,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,klr.,kors,ausgerodete Striche Landes,,,cleared lines of land,
12,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,klr.,kȑšljav,im Wachstum zurückgeblieben,,,Lagging behind in growth,
13,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,čech.,kr̀š,Strauch,m.,,Shrub,m.
14,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,čech.,krs,Zwergbaum,,,Dwarf tree,
15,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,čech.,"krs-ati, -nouti",abnehmen,,,to lose weight,
16,(kerk̂-:) kork̂- : kr̥k̂-,kerk̑- : kork̑- : kr̥k̑-,poln. dial.,karślak,"niedriger, gekrümmter Baum, Brennholz",,,"low, curved tree, firewood",
0,kerm-,kerm-,ahd.,hirmen,"ruhen, rasten",,,"rest, take a break",
1,kerm-,kerm-,mhd.,hirmen,"ruhen, rasten",,,"rest, take a break",
2,kerm-,kerm-,mndl.,hermen,"ruhen, rasten",,,"rest, take a break",
3,kerm-,kerm-,lit.,kirmy-jù,"anfaulen, faul werden",beeinflußt von \kirmìs\ 'Wurm'?,,"to rot, to become lazy",influenced by \kirmìs\ 'worm'?
4,kerm-,kerm-,lit.,kirmýti,"anfaulen, faul werden",beeinflußt von \kirmìs\ 'Wurm'?,,"to rot, to become lazy",influenced by \kirmìs\ 'worm'?
5,kerm-,kerm-,lit.,kirmė́ti,"anfaulen, faul werden",beeinflußt von \kirmìs\ 'Wurm'?,,"to rot, to become lazy",influenced by \kirmìs\ 'worm'?
0,kerno-,kerno-,cymr.,cern,Kinnbacken,,,Cheeks,
1,kerno-,kerno-,bret.,kern,"Mühltrichter, Scheitel, Tonsur",,,"Mill funnel, parting, tonsure",
2,kerno-,kerno-,mir.,cern,"Ecke, Winkel",es liegt die Vorstellung des Knicks am Kinnbacken vor,,"Corner, angle",the notion of a bow is located at the jawbone
,,,,,,,,,
4,kerno-,kerno-,abg.,črěnovьnaja,μύλαι,slav. \*černъ\,,mills,slav. \*černъ\ [UNKNOWN]
5,kerno-,kerno-,r.-ksl.,črěnovъnъ,"jaw, chin(bone)",\zubъ\; slav. \*černъ\,,"Jaw, chin bone",\zubъ\; slav. \*černъ\
6,kerno-,kerno-,r.-ksl.,črěnovítьcь,μύλη,dens molaris; slav. \*černъ\,,Mill,dens molaris; slav. *černъ\ [UNKNOWN]
7,kerno-,kerno-,slovak.,čren,Kinnbacken,slav. \*černъ\,,Cheeks,slav. \*černъ\ [UNKNOWN]
8,kerno-,kerno-,lett.,cęruo-k(s)lis,Backenzahn,"Nach Būga RFV. 67, 234",,Molar tooth,"According to Būga RFV. 67, 234"
9,kerno-,kerno-,ai.,carvati,kauen,"Nach Būga RFV. 67, 234",,chew,"According to Būga RFV. 67, 234"
0,k̂ē-ro-,k̑ē-ro-,ai.,śārá-,"bunt, scheckig",dessen \-ra-\ als formantisch erwiesen wird durch die av. Kompositionsform \*śā-(i̯)i-\ in \sāi-mužay-\ EN 'der ungleichmäßig gefärbte Eselinnen hat',,"colorful, mottled",whose \-ra-\ is proven to be formative by the av. composition form \*śā-(i̯)i-\ in \sāi-mužay-\ EN 'has the unevenly colored female donkey'
1,k̂ē-ro-,k̑ē-ro-,av.,sāi-mužay-,EN 'der ungleichmäßig gefärbte Eselinnen hat',Kompositionsform *śā-(i̯)i- in Zusammenhang mit ai. śārá-,,ENG 'the unevenly colored female donkey has',Kompositionsform *śā-(i̯)i- in connection with ai. śārá-
2,k̂ē-ro-,k̑ē-ro-,gr.,κηρύλος,der blaue Eisvogel,Deminutivformans -ύλος,,the blue kingfisher,Deminutive formative -ύλος
3,k̂ē-ro-,k̑ē-ro-,idg.,,,vielleicht als \*k̂e[i]-ro-\ zu _k̂ei-2_ in Zusammenhang mit Farbbezeichnungen,general note,,perhaps as *k̂e[i]-ro- related to _k̂ei-2_ in connection with color terms.
0,k̂ēu-1 : k̂ū-,1. k̑ēu- : k̑ū-,lat.,"cēveō, -ēre",wackeln; wie ein wedelnder Hund schmeicheln,,,wiggle; flatter like a fawning dog,
,,,,,,,,,
2,k̂ēu-1 : k̂ū-,1. k̑ēu- : k̑ū-,abg.,"po-kyva-jǫ, -ti","den Kopf schütteln, nicken",hauptsächlich mit \glavǫ\,,"shake one's head, nod",mainly with \glavǫ\
,,,,,,,,,
4,k̂ēu-1 : k̂ū-,1. k̑ēu- : k̑ū-,čech.,kývati,"winken, nicken, wedeln, bewegen, schütteln",,,"wave, nod, wag, move, shake",
0,k̂eub-,k̑eub-,Asächs.,hiopo,Dornstrauch,,,Thorn bush,
1,k̂eub-,k̑eub-,ahd.,hiufo,Dornstrauch,,,Thorn bush,
2,k̂eub-,k̑eub-,ags.,héopa,Dornstrauch,m.,,Thorn bush,m.
3,k̂eub-,k̑eub-,ags.,héope,Dornstrauch,f.,,Thorn bush,f. [UNKNOWN]
4,k̂eub-,k̑eub-,engl.,hip,Dornstrauch,,,Thorn bush,
5,k̂eub-,k̑eub-,norw.,hjūpa,Hagebutte,,,Rose hip,
6,k̂eub-,k̑eub-,apr.,kaāubri,Dorn,,,Thorn,
0,"keuəd-, kū̆d-","keuəd-, kū̆d-",ai.,kutsáyati,"schmäht, tadelt",,,"insults, criticizes",
1,"keuəd-, kū̆d-","keuəd-, kū̆d-",ai.,kutsā,"Schmähung, Tadel",,,"Insult, reprimand",
2,"keuəd-, kū̆d-","keuəd-, kū̆d-",npers.,nikūhīdan,"tadeln, schmähen",,,"criticize, disparage",
3,"keuəd-, kū̆d-","keuəd-, kū̆d-",gr.,"κυδάζω, -ομαι","schmähe, beschimpfe",,,"insult, abuse",
4,"keuəd-, kū̆d-","keuəd-, kū̆d-",gr.,κυδάγχας,"μάxας, λοιδορίας",Hes.,,"insults, verbal abuse",Hes. [UNKNOWN]
,"keuəd-, kū̆d-","keuəd-, kū̆d-",gr.,κυδαγχόμενα,λοιδορούμενα,Hes.,,reviled,Hes. [UNKNOWN]
5,"keuəd-, kū̆d-","keuəd-, kū̆d-",gr.,κυδοιμός,"Schlachtlärm, -getümmel",von einem St. κυδοι-,,"Battle noise, tumult",from a St. κυδοι- [UNKNOWN]
6,"keuəd-, kū̆d-","keuəd-, kū̆d-",gr.,κυδοιμεῖν,Lärm 'Tumult verursachen',von einem St. κυδοι-,,Causing noise 'commotion',from a St. κυδοι- [UNKNOWN]
7,"keuəd-, kū̆d-","keuəd-, kū̆d-",gr.,κυδοι-δοπᾆν,Lärm 'Tumult verursachen',von einem St. κυδοι-,,Causing noise 'commotion',from a St. κυδοι- [UNKNOWN]
8,"keuəd-, kū̆d-","keuəd-, kū̆d-",agutn.,huta,herbeirufen,,,summon,
9,"keuəd-, kū̆d-","keuəd-, kū̆d-",norw. dial.,huta,"schreien, lärmen, einen Hund drohend anschreien, verächtlich behandeln",,,"scream, make noise, shout threateningly at a dog, treat contemptuously",
10,"keuəd-, kū̆d-","keuəd-, kū̆d-",mengl.,"hūten, hōten","schreien, jucheien",aus anord. hōta 'drohen',,"scream, cheer",from Old Norse hōta 'to threaten'
11,"keuəd-, kū̆d-","keuəd-, kū̆d-",nengl.,hoot,"schreien, jucheien",aus anord. hōta 'drohen',,"scream, cheer",from Old Norse hōta 'to threaten'
12,"keuəd-, kū̆d-","keuəd-, kū̆d-",ags.,hūsc,"Schmähung, Spott, Hohn",\*kūd-sko-\,,"Insult, mockery, scorn","*kūd-sko-"" [UNKNOWN]"
13,"keuəd-, kū̆d-","keuəd-, kū̆d-",ahd. as.,hosc,"Schmähung, Spott, Hohn",\*kŭd-sko-\,,"Insult, mockery, scorn",*\kŭd-sko-\ [UNKNOWN]*
14,"keuəd-, kū̆d-","keuəd-, kū̆d-",ags.,hosp,"Schande, Schmach, Beleidigung",,,"Shame, disgrace, insult",
15,"keuəd-, kū̆d-","keuəd-, kū̆d-",ags.,hyspan,spotten,mit \-sp-\ Suffix,,to mock or ridicule,with \-sp-\ suffix
16,"keuəd-, kū̆d-","keuəd-, kū̆d-",mhd.,hiuze,"frech, munter",,,"cheeky, lively",
17,"keuəd-, kū̆d-","keuəd-, kū̆d-",mhd.,hiuzen,sich erfrechen,*herausfordernd schreien',,to dare oneself,*challengingly scream'
18,"keuəd-, kū̆d-","keuəd-, kū̆d-",mhd.,"gehiuze, gehūze","Larm, Geschrei, Spott, Hohn",,,"Noise, shouting, mockery, scorn",
19,"keuəd-, kū̆d-","keuəd-, kū̆d-",mhd.,"hiuzen, hūzen",zur Verfolgung rufen,dazu die Interj. \hussa\?,,call for pursuit,dazu die Interj. \hussa\?
20,"keuəd-, kū̆d-","keuəd-, kū̆d-",mengl.,schūten,vociferari,"mit anlaut. \s-\ (erst nach \schallen\, \schreien\ u. dgl.?)",,to vociferate,"with initial sound \s-\ (only after \schallen\, \schreien\, etc.?)"
21,"keuəd-, kū̆d-","keuəd-, kū̆d-",engl.,to shout,"laut schreien, rufen, jauchzen","mit anlaut. \s-\ (erst nach \schallen\, \schreien\ u. dgl.?)",,"scream, shout, cheer loudly","with initial sound \s-\ (only after \schallen\, \schreien\, etc.?)"
22,"keuəd-, kū̆d-","keuəd-, kū̆d-",aisl.,"skūta, skūti","Spott, Stichelei","mit anlaut. \s-\ (erst nach \schallen\, \schreien\ u. dgl.?)",,"Ridicule, teasing","with initial sound \s-\ (only after \schallen\, \schreien\, etc.?)"
23,"keuəd-, kū̆d-","keuəd-, kū̆d-",abg.,"kuždǫ, kuditi",zugrunde richten,,,to destroy/ruin,
24,"keuəd-, kū̆d-","keuəd-, kū̆d-",ksl.,"kuždǫ, kuditi","zugrunde richten; schmähen, tadeln",,,"destroy; slander, criticize",
25,"keuəd-, kū̆d-","keuəd-, kū̆d-",russ.,prokúditь,"schlechte Streiche machen, Schabernack spielen",,,"play pranks, do mischief",
26,"keuəd-, kū̆d-","keuəd-, kū̆d-",russ.,kúdь,Schwarzkunst,f.,,Black magic,f. [UNKNOWN]
27,"keuəd-, kū̆d-","keuəd-, kū̆d-",skr.,"kudīm, -íti","tadeln, verleumden",,,"blame, slander",
28,"keuəd-, kū̆d-","keuəd-, kū̆d-",poln. dial.,"prze-, przy-kudzić","verderben, langweilen",,,"spoil, bore",
0,"k̂euk̂-, k̂uk̂-","k̑euk̑-, k̑uk̑-",gr.,κυκεών,Mischtrank,"general: ""Sehr unsicher""",,Mixed potion,"general: ""Very uncertain"
1,"k̂euk̂-, k̂uk̂-","k̑euk̑-, k̑uk̑-",gr.,κυκάω,"rühre ein, mische",,,"stir in, mix",
2,"k̂euk̂-, k̂uk̂-","k̑euk̑-, k̑uk̑-",gr.,κύκηθρον,Rührkelle,,,Mixing spoon,
3,"k̂euk̂-, k̂uk̂-","k̑euk̑-, k̑uk̑-",lit.,šáukštas,Löffel,,,Spoon,
4,"k̂euk̂-, k̂uk̂-","k̑euk̑-, k̑uk̑-",lit.,šiùkšmės,"Geröll, Auskehricht",,,"Debris, garbage",
5,"k̂euk̂-, k̂uk̂-","k̑euk̑-, k̑uk̑-",lit.,šiukštùs,mit Spreu oder Kleiegemischt,,,mixed with chaff or bran,
0,kik-,kik-,ai.,kiki-,blauer Holzhäher,\k\ nicht zu \c\ zur Festhaltung der Schallnachahmung,,blue wooden jay,\k\ not to hold on to \c\ for sound imitation
1,kik-,kik-,ai.,kikidīví-,blauer Holzhäher,m.; \k\ nicht zu \c\ zur Festhaltung der Schallnachahmung,,blue wooden jay,m.; \k\ not to \c\ for capturing sound imitation
2,kik-,kik-,gr.,κίσσα,Häher,(*κικι̯-α),,Jay,(*κικι̯-α) [UNKNOWN]
3,kik-,kik-,att.,κίττα,Häher,(*κικι̯-α),,Jay,(*κικι̯-α) [UNKNOWN]
4,kik-,kik-,ags.,higora,picus (Elster oder Holzhäher),m.,,picus (magpie or woodpecker),m.
5,kik-,kik-,ags.,higore,picus (Elster oder Holzhäher),f.,,picus (magpie or woodpecker),f. [UNKNOWN]
6,kik-,kik-,mnd.,heger,Häher,n.,,Jay,n. [UNKNOWN]
7,kik-,kik-,ahd.,hehara,Häher,,,Jay,
0,k̂ī̆k-2,2. k̑ī̆k-,ai.,śīkára-,feiner Regen,m.,,fine rain,m.
1,k̂ī̆k-2,2. k̑ī̆k-,ai.,śīkāyati,tröpfelt,,,drips,
2,k̂ī̆k-2,2. k̑ī̆k-,norw.,higla,tröpfeln,,,drizzle,
3,k̂ī̆k-2,2. k̑ī̆k-,norw.,higl,feiner Regen,,,fine rain,
0,k̂ik̂er-,k̑ik̑er-,arm.,siseṙn,Kichererbse,scheint \k̂eik̂er-\ oder \k̂oik̂er-\ fortzusetzen,general comment: kaum indogermanisch,Chickpea,seems to continue \k̂eik̂er-\ or \k̂oik̂er-\
1,k̂ik̂er-,k̑ik̑er-,gr.,κίκερροι,ὠχροί. Μακεδόνες,maked.; so für überliefertes κίβερροι durch die alph. Reihenfolge gefordert,,Pale-skinned. Macedonians.,maked.; so for the transmitted κίβερροι demanded by alphabetical order
,,,,,,,,,
3,k̂ik̂er-,k̑ik̑er-,gr.,κριός,Kichererbse,wird aus *κικριός dissimil. sein,,Chickpea,will be dissimilar from *κικριός
4,k̂ik̂er-,k̑ik̑er-,lat.,cicer,Kichererbse,,,Chickpea,
5,k̂ik̂er-,k̑ik̑er-,lit.,kekė̃,Traube,"scheinen dagegen mit lett. \k'eḱis\ 'Dolde, Traube', Lituanismus zu lett. \cekulis\ 'Zopf, Troddel, Quaste, Strauß, Büschel', \cecers\ 'Krauskopf' und čech. \čečeřiti\ 'struppig machen, kräuseln' eine verschiedene Sippe zu bilden",,Grape,"on the other hand, seem to form different lineages with Latvian \k'eḱis\ 'umbel, bunch', Lithuanian \cekulis\ 'braid, tassel, tuft, bouquet', \cecers\ 'curly head' and Czech \čečeřiti\ 'to make scruffy, curl'"
6,k̂ik̂er-,k̑ik̑er-,lett.,k'ekars,Traube,"scheinen dagegen mit lett. \k'eḱis\ 'Dolde, Traube', Lituanismus zu lett. \cekulis\ 'Zopf, Troddel, Quaste, Strauß, Büschel', \cecers\ 'Krauskopf' und čech. \čečeřiti\ 'struppig machen, kräuseln' eine verschiedene Sippe zu bilden",,Grape,"on the other hand, seem to form different lineages with Latvian \k'eḱis\ 'umbel, bunch', Lithuanian \cekulis\ 'braid, tassel, tuft, bouquet', \cecers\ 'curly head' and Czech \čečeřiti\ 'to make scruffy, curl'"
0,k̂īō̆n- (k̂īsō̆n-?),"k̑īō̆n-, k̑īsō̆n-?",arm.,siun,Säule,,,Column,
1,k̂īō̆n- (k̂īsō̆n-?),"k̑īō̆n-, k̑īsō̆n-?",gr.,κί̄ων,Säule,,,Column,
0,k̂iph-,k̑iph-,ai.,śiphā,"dünne Wurzel, Rute",,,"thin root, rod",
1,k̂iph-,k̑iph-,gr.,κίφος,στέφανος,"messenisch, n.",,Stephanos,"messenisch, n. [UNKNOWN]"
2,k̂iph-,k̑iph-,lett.,sipsna,starke Rute,,,strong rod,
3,k̂iph-,k̑iph-,lit.,šipulỹs,"Holzspan, Holzscheit",,,"Wooden chip, log",
0,kistā,kistā,gr.,κίστη,"Kisten, Kasten","daraus lat. \cista\, \cisterna\",,"Boxes, crates","from Latin \cista\, \cisterna\"
1,kistā,kistā,lat.,cista,"Kisten, Kasten",aus gr. κίστη,,"Boxes, crates",from Greek κίστη
2,kistā,kistā,lat.,cisterna,"Kisten, Kasten",aus gr. κίστη,,"Boxes, crates",from Greek κίστη
3,kistā,kistā,air.,cess,"Korb, Hürde",f.; vgl. \ro-cess\ 'wurde geflochten',,"Basket, hurdle",f.; cf. \ro-cess\ 'was braided'
4,kistā,kistā,air.,cisse,geflochten,vgl. aber Pedersen KG. II 491,,braided,cf. but Pedersen KG. II 491
0,klādhrā,klādhrā,gr.,κλήθρα,"Erle, Betula alnus L.",,,"Alder, Betula alnus L.",
1,klādhrā,klādhrā,nhd. dial.,lutter,"Alpenerle, Betula nana L.",(Zillertal) (Schmeller I^^2^^ 1542),,"Alpine birch, Betula nana L.",Zillertal (Schmeller I^^2^^ 1542)
2,klādhrā,klādhrā,nhd. dial.,ludere,"Alpenerle, Betula nana L.",(Zillertal) (Schmeller I^^2^^ 1542),,"Alpine birch, Betula nana L.",Zillertal (Schmeller I^^2^^ 1542)
3,klādhrā,klādhrā,nhd. dial.,ludern,"Alpenerle, Betula nana L.",(Zillertal) (Schmeller I^^2^^ 1542),,"Alpine birch, Betula nana L.",Zillertal (Schmeller I^^2^^ 1542)
0,klau-,klau-,ion.,κλαίω,weine,"*κλαϝ-ι̯ω : κλαύσομαι, ἔκλαυσα, κλαυτός und κλαυστός",,cry,"κλαύσομαι, ἔκλαυσα, κλαυτός und κλαυστός [UNKNOWN]"
1,klau-,klau-,att.,κλάω,weine,"*κλαϝ-ι̯ω : κλαύσομαι, ἔκλαυσα, κλαυτός und κλαυστός",,cry,"κλαύσομαι, ἔκλαυσα, κλαυτός und κλαυστός [UNKNOWN]"
2,klau-,klau-,alb.,klanj,weine,\*klauni̯ō\,,cry,"\*klauni̯ō\"" [UNKNOWN]"
3,klau-,klau-,alb.,kanj,weine,\*klauni̯ō\,,cry,"\*klauni̯ō\"" [UNKNOWN]"
0,kleik̂-,kleik̑-,ai.,kliśṇā́ti,"quält, belästigt",,,"torments, harasses",
1,kleik̂-,kleik̑-,ai.,klíśyatē,"wird gequält, leidet",,,"is tormented, suffers",
2,kleik̂-,kleik̑-,ai.,klḗśa-,"Schmerz, Leiden, Beschwerde",m.,,"Pain, suffering, complaint",m.
3,kleik̂-,kleik̑-,ai.,saṁ-kliś-,quetschen,,,to squeeze/crush/squash,
4,kleik̂-,kleik̑-,lit.,klìšė,Krebsschere,f.,,Crayfish scissors,f. [UNKNOWN]
5,kleik̂-,kleik̑-,lit.,klìšas,schiefbeinig,perhaps from \klìšė\,,knock-kneed,perhaps from \klìšė\ [UNKNOWN]
6,kleik̂-,kleik̑-,lit.,kleišiúoti,mit krummen Füßen laufen,,,to walk with crooked feet,
7,kleik̂-,kleik̑-,slav.,*kliša,"Zange, Schere",,,"Pliers, scissors",
8,kleik̂-,kleik̑-,slav.,*klěša,"Zange, Schere",,,"Pliers, scissors",
9,kleik̂-,kleik̑-,poln.,kliszawy,krummbeinig,slav. \*kliša\,,bow-legged,slav. \*kliša\ [UNKNOWN]
10,kleik̂-,kleik̑-,klr.,*klíšavyj,krummbeinig,slav. \*kliša\,,bow-legged,slav. \*kliša\ [UNKNOWN]
11,kleik̂-,kleik̑-,r.-ksl.,klěšča,Zange,slav. \*klěša\,,Pliers,slav. \*klěša\ [UNKNOWN]
12,kleik̂-,kleik̑-,sloven.,klẹ́šče,"Zange, Schere",slav. \*klěša\,,"Pliers, scissors",slav. \*klěša\ [UNKNOWN]
13,kleik̂-,kleik̑-,klr.,kliščí,"Zange, Schere",f. Pl.; aus bsl. \*klaišti̯ā-\,,"Pliers, scissors",f. Pl.; from bsl. \*klaišti̯ā-\
14,kleik̂-,kleik̑-,ksl.,klěšta,Zange,,,Pliers,
15,kleik̂-,kleik̑-,ksl.,klěštiti,premere,,,press,
16,kleik̂-,kleik̑-,abg.,sъ-klěštati sę,cruciari,,,to be tormented,
17,kleik̂-,kleik̑-,russ. dial.,klestítь,"drücken, pressen, klemmen",\= ksl. \klěstítь\,,"push, press, clamp",\= ksl. \klěstítь\ [UNKNOWN]
0,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",ai.,"klā́myati, klā́mati","wird müde, erschlafft",,,"gets tired, weak",
1,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",ai.,śrā́myati,"wird müde, müht sich ab, kasteit sich",,,"becomes tired, struggles, tortures oneself",
2,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",ai.,śrāntá-,"ermüdet, abgearbeitet",,,"tired, worn out",
3,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",ai.,śráma-,"Ermüdung, Müdigkeit, Erschöpfung",m.,,"Fatigue, tiredness, exhaustion",m.
4,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",ai.,śramaṇá-,"sich kasteiend, Bettelmönch",Ist über die ostasiat. Sprachen als \Schamane\ 'Zauberer' nach Europa gekommen (idg. Reihenwechsel?; auch die Doppeldeutigkeit der Liquida erschwert das Urteil; von \kerm- `ermüden' jedenfalls wenigstens durch die Vokalstellunggeschieden),,"penitent, begging monk","Has the term ""Schamane"" ('shaman') come to Europe through East Asian languages (Indo-European ablaut?; the ambiguity of the liquid consonants also complicates the judgement; at least separated from ""kerm-""ermüden"" by vowel changes)?"
5,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",gr.,κλαμαράν,"πλαδαράν, ἀσθενῆ",Hes.,,"sluggish, weak",Hes. [UNKNOWN]
6,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",air.,clam,Aussätziger,,,Leper,
7,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",cymr.,claf,krank,,,sick,
8,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",acorn.,claf,krank,,,sick,
9,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",mbret.,claff,krank,,,sick,
10,"klem-, klēm-, kl↓↓e↓↓m-","klem-, klēm-, klem-",nbret.,"klañv, klañ",krank,,,sick,
0,kleno-,kleno-,Maked.,κλινότροχον,Ahornart',"s. G. Meyer IF. 1, 325 f.",,Maple species,"see G. Meyer IF. 1, 325 f."
1,kleno-,kleno-,gr.,γλεῖνον,Ahornart',Lw.,,Maple species,Lw. [UNKNOWN]
2,kleno-,kleno-,mnd.,lönenholt,Ahornholz',,,Maple wood,
3,kleno-,kleno-,ndd.,löne,Ahorn',"\*hluni-z\; aus dem Nd. nhd. \Lehne\, \Lenne\ 'Spitzahorn'",,Maple,"\*hluni-z\; from Low German Modern High German \Lehne\, \Lenne\ 'sycamore maple'"
4,kleno-,kleno-,ndd.,läne,Ahorn',"\*hluni-z\; aus dem Nd. nhd. \Lehne\, \Lenne\ 'Spitzahorn'",,Maple,"\*hluni-z\; from Low German Modern High German \Lehne\, \Lenne\ 'sycamore maple'"
5,kleno-,kleno-,pomm.-rüg.,lön,Ahorn',"\*hluni-z\; aus dem Nd. nhd. \Lehne\, \Lenne\ 'Spitzahorn'",,Maple,"\*hluni-z\; from Low German Modern High German \Lehne\, \Lenne\ 'sycamore maple'"
6,kleno-,kleno-,aisl.,hlynr,Ahorn',(hlunr),,Maple,"(hlunr)"" [UNKNOWN]"
7,kleno-,kleno-,dän.,løn,Ahorn',,,Maple,
8,kleno-,kleno-,schwed.,lönn,Ahorn',,,Maple,
9,kleno-,kleno-,ags.,hlyn,Ahorn',wohl besser als /hlīn/,,Maple,probably better than /hlīn/
10,kleno-,kleno-,ahd.,līn-,Ahorn',"mhd. /līn-/, /līm-boum/",,Maple,"mhd. /līn-/, /līm-boum/ [UNKNOWN]"
11,kleno-,kleno-,ahd.,līm-boum,Ahorn',"mhd. /līn-/, /līm-boum/",,Maple,"mhd. /līn-/, /līm-boum/ [UNKNOWN]"
12,kleno-,kleno-,nhd.,Leim-,Ahorn',,,Maple,
13,kleno-,kleno-,nhd.,Lein-baum,Ahorn',,,Maple,
14,kleno-,kleno-,nhd.,Lein-ahorn,Ahorn',,,Maple,
15,kleno-,kleno-,lit.,klẽvas,Ahorn',mit ganz unklarem v,,Maple,with a very unclear v
16,kleno-,kleno-,russ.,klënъ,Ahorn',*klъnъ 'Art Baum' usw.,,Maple,*klъnъ 'type of tree' etc.
17,kleno-,kleno-,serb.,klȅn,Feldahorn',*klъnъ 'Art Baum' usw.,,Field maple,*klъnъ 'type of tree' etc.
18,kleno-,kleno-,serb.,kljȅn,Feldahorn',*klъnъ 'Art Baum' usw.,,Field maple,*klъnъ 'type of tree' etc.
19,kleno-,kleno-,serb.,kūn,Feldahorn',*klъnъ 'Art Baum' usw.,,Field maple,*klъnъ 'type of tree' etc.
0,klep-,klep-,gr.,κλέπας,"νοτερόν, πηλῶδες, ἤ δασύ, ἤ ὑγρόν",Hes.,,"rough, muddy, or dense, or wet",Hes. [UNKNOWN]
1,klep-,klep-,air.,cluain,Wiese,"\k̂lop-ni-\, auch \k̂leu-ni-\ möglich",,Meadow,"\k̂lop-ni-, auch \k̂leu-ni- possible"
2,klep-,klep-,lit.,šlampù,naß werden,,,to get wet,
3,klep-,klep-,lit.,šlapti,naß werden,,,to get wet,
4,klep-,klep-,lit.,šlapumà,nasse Stelle auf dem Felde,,,wet spot in the field,
5,klep-,klep-,lit.,šlãpias,naß,,,wet,
6,klep-,klep-,lett.,slapêt,naß machen,,,to make wet,
0,klēp-,klēp-,mhd.,lāfter,Klafter,,,Fathom,
1,klēp-,klēp-,lett.,klèpis,"Schoß, Schoßvoll",,,"Lap, lapful",
2,klēp-,klēp-,lit.,klėbỹs,"Armweite, Klafter, Armvoll",b vielleicht nach \glėbỹs\ 'Armvoll',,"Arm's length, fathom, armful.",maybe after \glėbỹs\ 'armful'
3,klēp-,klēp-,lit.,glėbỹs,to hold in arms and/or lap,Anlautvariante neben \glėbỹs\,,im Arm und/oder Schoß halten,Initial sound variation next to \glėbỹs\
4,klēp-,klēp-,nhd.,Klafter,to hold in arms and/or lap,?; s. oben S. 359 unter gel- 'ballen',,im Arm und/oder Schoß halten,?; see above p. 359 under gel- 'ballen'
