,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
4,i̯oi-ni-,ndd.,ēn(e)ke,Wacholder,"falls aus \*jainia-\, wodurch der Bedeutungswechsel Binse : Wacholder (s. oben) als alt gesichert würde.",,Juniper,"if from \*jainia-, thereby confirming the old change in meaning from ""Binse"" to ""Wacholder"" (see above)."
5,i̯oi-ni-,mnd.,eynholz,juniper wood,Doch ist dann bei mnd. \eynholz\ und nhd. \Einbeerbaum\ (aus aisl. \eini-ber\ 'Wacholderbeere') Einfluß von \ein\ 'ein' anzunehmen.,not sure if E is correct,Wacholderholz,"However, in Middle Low German \eynholz\ and Modern High German \Einbeerbaum\ (from Old Norse \eini-ber\ 'juniper berry'), influence from \ein\ 'one' can be assumed."
6,i̯oi-ni-,nhd.,Einbeerbaum,lingonberry tree,(aus aisl. \eini-ber\ 'Wacholderbeere') Einfluß von \ein\ 'ein' anzunehmen.,,lingonberry tree,(from Old Norse \eini-ber\ 'juniper berry') to assume the influence of \ein\ 'one'.
0,i̯ork-,gr.,ζόρξ,"Reh, Gazelle'",,,"Deer, gazelle",
1,i̯ork-,gr.,ζορκάς,"Reh, Gazelle'",,,"Deer, gazelle",
2,i̯ork-,gr.,"δόρξ, δορκός","Reh, Gazelle'",mit volksetym. Anschluß an δέρκομαι meist,,"Deer, gazelle","with folk etym. connection to δέρκομαι, mostly"
,,,,,,,,
4,i̯ork-,gr.,δορκάς,"Reh, Gazelle'",f.,,"Deer, gazelle",f. [UNKNOWN]
5,i̯ork-,gr.,δόρκος,"Reh, Gazelle'",m.,,"Deer, gazelle",m.
6,i̯ork-,gall.-rom.,*i̯orkos,Reh',,,Deer',
7,i̯ork-,cymr.,iwrch,caprea mas',,,caprea more,
8,i̯ork-,corn.,yorch,Reh',,,Deer',
9,i̯ork-,bret.,iourc'h,Reh',vermutlich aus dem Keltischen stammen die späteren vereinzelten Formen,,Deer',presumably the later isolated forms are of Celtic origin.
10,i̯ork-,gr.,ἴορκος,"Reh, Gazelle'",bei Opp. und Hes.,,"Deer, gazelle",with Opp. and Hes.
11,i̯ork-,gr.,ἴορκες,"Reh, Gazelle'",bei Opp. und Hes.,,"Deer, gazelle",with Opp. and Hes.
12,i̯ork-,gr.,ἴυρκες,"Reh, Gazelle'",bei Opp. und Hes.,,"Deer, gazelle",with Opp. and Hes.
13,i̯ork-,gall.,Jurca,FN,,,FN,
0,kā̆d-,ai.,kadana-,Vernichtung,,,Destruction,
1,kā̆d-,ai.,cakāda kadanam,habe eine Vernichtung angerichtet,"unsicher, ob nicht \cakāra\?",,have caused destruction,"unsure, if not \cakāra\?"
,,,,,,,,
3,kā̆d-,gr. hom.,κεκαδών,beraubend,,,breathtaking,
4,kā̆d-,gr. hom.,κεκαδήσει,wird berauben,,,will be robbed,
5,kā̆d-,gr. hom.,κεκαδῆσαι,"βλάψαι, κακῶσαι, στερῆσαι",Hes.,,"Inflict harm, do evil, deprive",Hes. [UNKNOWN]
6,kā̆d-,gr. hom.,κεκάδονto,sie wichen,in medial-pass. Bed.,,they gave way,in medial-passive voice.
7,kā̆d-,gr. hom.,ἐκεκήδει,ὑπε(κε)χωρήκει,Konjektur; Hes.,,he/she/it had withdrawn,Conjecture; Hes.
8,kā̆d-,gr. hom.,ἀποκαδέω,ἀσθενέω,Hes.,,I am weak.,Hes. [UNKNOWN]
9,kā̆d-,gr. hom.,κάδυρος,κάπρος ἄνορχις,Hes.,,capros anorchis,Hes. [UNKNOWN]
0,2. k̑ad-,ai.,śāśadúḥ,"sich auszeichnen, hervorragen",Perfektum,,"to excel, to stand out",Perfect tense
1,2. k̑ad-,ai.,śāśadāna-,"sich auszeichnen, hervorragen",Partizip,,"to excel, to stand out",Participle.
2,2. k̑ad-,gr.,κέκασμαι,sich auszeichnen,Perfektum,,to distinguish oneself,Perfect tense
3,2. k̑ad-,gr.,ἐκεκάσμην,sich auszeichnen,Plusqpf.,,to distinguish oneself,Plusqpf. [UNKNOWN]
4,2. k̑ad-,gr.,κεκασμένος,sich auszeichnen,"Partizip, homerisch Aisch.",,to distinguish oneself,"Participle, Homeric Aisch."
5,2. k̑ad-,gr.,κεκαδμένος,prangend,Pind.,,glaring,[UNKNOWN]
6,2. k̑ad-,gr.,Κάστωρ,der Glänzende,eigentlich (?),,the shiny one,eigentlich (?) [UNKNOWN]
7,2. k̑ad-,gr.,Καστι-άνειρα,unter Männern ausgezeichnet,usw.,,excellent among men,etc.
8,2. k̑ad-,gr.,κάστωρ,Biber,"m., mit Übertragung des GN wegen der Heilwirkung des Bibergeils",,Beaver,"m., with transfer of the GN because of the healing effect of beaver musk"
9,2. k̑ad-,gr.,καστόριον,Moschus,"> ai. \kastūrī\ 'Moschus', f.",,Musk,"ai. \kastūrī\ 'Moschus', feminine."
10,2. k̑ad-,gr.,καίνυμαι,"surpass, overcome",Präsens; Neubildung nach δαίνυμαι,,"surpass, overcome",Present tense; neologism based on δαίνυμαι
11,2. k̑ad-,mir.,cā(i)d,heilig,vielleicht,,holy,maybe
12,2. k̑ad-,gall.,caddos,sanctus,"vielleicht; C. Gl. L. V 493, 30",,holy,"vielleicht; C. Gl. L. V 493, 30 [UNKNOWN]"
13,2. k̑ad-,abrit.,Belatu-cadrus,Beiname des `Kriegsgottes'??,Umbildung eines \*katros\ `tapfer' (vgl. __kat-__ `kämpfen') zu \kadros\ wäre freilich nicht ganz ausgeschlossen.,,Epithet of the 'god of war'?,Transformation of a *katros `brave' (cf. __kat-__ `to fight') to \kadros\ would certainly not be completely excluded.
,,,,,,,,
,,,,,,,,
0,"kaik̑-, or koik̑-",ai.,kéśa,Haupthaar,,,Main hair,
1,"kaik̑-, or koik̑-",ai.,kēśín,mähnig,"wie aksl. \kosa\ 'Haar' : \česati\ 'kämmen' von \*kes-\ 'kratzen, kämmen'",,maned,"like aksl. \kosa\ 'hair' : \česati\ 'to comb' from \*kes-\ 'to scratch, to comb'"
2,"kaik̑-, or koik̑-",lit.,kaĩšti,"schaben, reiben, glätten",,,"scrape, rub, smooth",
3,"kaik̑-, or koik̑-",lit.,iškaĩšti,"Glas, Holz u. dgl. innen glatt machen",,,"Make glass, wood, etc. smooth on the inside.",
4,"kaik̑-, or koik̑-",lit.,kaĩštuvas,Glättinstrument der Böttcher,,,Smoothing tool of the cooper,
5,"kaik̑-, or koik̑-",apr.,coysnis,Kamm,,,Comb,
6,"kaik̑-, or koik̑-",apr.,coestue,"Kamm, Bürste",,,"Comb, brush",
7,"kaik̑-, or koik̑-",abg.,cěsta,"Weg, Straße",als 'geglätteter Weg',,"Path, road",as 'smooth path'
0,kais-,ai.,kēsara-,"Haar, Mähne","\s\ statt \ṣ\ aus einer Form \*kēsra-\, z. B. Wackernagel Ai. Gr. I 232; vgl. oben \kéśa-\ unter \kaik̂-\;",,"Hair, mane","\s\ instead of \ṣ\ from a form \*kēsra-\, e.g. Wackernagel Ai. Gr. I 232; cf. above \kéśa-\ under \kaik̂-\;"
1,kais-,lat.,caesariēs,Haupthaar,Rhotazismus unterblieben zur Vermeidung zweier r,,Main hair,Rhotacism omitted to avoid two r
2,kais-,toch. A,śiśäk,Löwe,"s. Van Windekens Lexique 120 f., E. Schwentner IF. 57, 59, Pedersen Toch. 247",,Lion,"see Van Windekens Lexique 120 f., E. Schwentner IF. 57, 59, Pedersen Toch. 247"
3,kais-,toch. B,ṣecake,Löwe,"s. Van Windekens Lexique 120 f., E. Schwentner IF. 57, 59, Pedersen Toch. 247",,Lion,"see Van Windekens Lexique 120 f., E. Schwentner IF. 57, 59, Pedersen Toch. 247"
0,kāk-,ai.,kāka-,Krähe,,,Crow,
1,kāk-,ai.,kākāla-,Rabe,,,Raven,
2,kāk-,ai.,kākola-,Rabe,,,Raven,
3,kāk-,lett.,kāk'is,Dohle,,,Jackdaw,
4,kāk-,apr.,koce,Dohle,wenn so für \kote\ zu bessern,,Jackdaw,wenn so für \kote\ zu bessern
5,kāk-,lett.,Kak'upe,Flußname,"vgl. Κακύπαρις, FlN in Sizilien? Anders über die balt. Worte Mühlenbach-Endzelin II 190.",,River name,"see Κακύπαρις, FlN in Sicily? Otherwise about the Baltic words Mühlenbach-Endzelin II 190. [UNKNOWN]"
6,kāk-,lit.,Kakupis,Flußname,"vgl. Κακύπαρις, FlN in Sizilien? Anders über die balt. Worte Mühlenbach-Endzelin II 190.",,River name,"see Κακύπαρις, FlN in Sicily? Otherwise about the Baltic words Mühlenbach-Endzelin II 190. [UNKNOWN]"
0,1. k̑ak-,av.,kasu,"klein, gering","Komp. Superl. \kasyah-\, \kasišta-\",,"small, low","Comparison. Superlative. \kasyah-\, \kasišta-\"
1,1. k̑ak-,nhd.,hager,,"Trautmann ZfdtWtf. 7, 267, KZ. 43, 153",,,"Trautmann ZfdtWtf. 7, 267, KZ. 43, 153 [UNKNOWN]"
2,1. k̑ak-,lit.,nukašė́ti,ganz entkräftet werden,,,to be completely exhausted,
0,"kāp-, kəp-",gr.,κῆπος,Garten,,,Garden,
1,"kāp-, kəp-",dor.,κᾆπος,Garten,,,Garden,
2,"kāp-, kəp-",gr.,κάπυς,κῆπος 'Garten',"Hes.; kret. 'unbearbeitetes Grundstück'; s. Gl. 3, 303",,"κῆπος 'Garten' translates to ""garden"" in English.","Hes.; Kretan 'undeveloped property'; cf. Glossary 3, 303"
3,"kāp-, kəp-",ahd.,huoba,Stück Land,,,Piece of land,
4,"kāp-, kəp-",as.,hōƀa,Stück Land,,,Piece of land,
5,"kāp-, kəp-",nhd.,Hufe,Garten,,,Garden,
6,"kāp-, kəp-",nhd.,Hube,Garten,,,Garden,
7,"kāp-, kəp-",alb.,kopshtë,Garten,,,Garden,
0,kā̆po-,ai.,śā́pa-,"was fließendes Wasser mit sich führt, Trift, Geflößtes",,,"what flowing water carries with it, drifts, floats",
1,kā̆po-,ai.,śāpēṭa-,angeschwemmtes Schilf u. dgl.,,,washed up reeds and the like,
2,kā̆po-,lit.,šãpai,"verstreute Halme, Rückstand, den eine Überschwemmung auf den Feldern zurückläßt",,,"scattered straw, residue left by a flood in the fields",
3,kā̆po-,lit.,šãpas,"Halm, Stroh, Ast",,,"Stem, straw, branch",
0,1. kar-,gr.,κάρνη,ζημία,Hes.,,damage,Hes. [UNKNOWN]
,1. kar-,gr.,αὐτόκαρνος,αὐτοζήμιος,Hes.,,self-inflicted,Hes. [UNKNOWN]
1,1. kar-,lat.,"carinō, -āre","höhnen, spotten",wohl ă,,"taunt, mock",wohl a [UNKNOWN]
2,1. kar-,air.,caire,Tadel,,,Criticism,
3,1. kar-,acymr.,cared,nequitiae,,,mischief,
4,1. kar-,cymr.,caredd,Fehler,,,Mistake,
5,1. kar-,corn.,cara,tadeln,,,to criticize or blame,
6,1. kar-,mbret.,carez,Tadel,*kr̥i̯ā,,Criticism,*kr̥i̯ā [UNKNOWN]
7,1. kar-,ahd.,harawēn,verspotten,,,to mock,
8,1. kar-,mhd.,herwen,verspotten,,,to mock,
9,1. kar-,ags.,hierwan,"verachten, verspotten",,,"despise, mock",
10,1. kar-,anord.,herfiligr,"verächtlich, erniedrigend",,,"contemptuous, demeaning",
11,1. kar-,mhd.,"here, herwer",herb,,,herb,
12,1. kar-,finn.,karvas,amarus,Lw.,,amarus,Lw. [UNKNOWN]
13,1. kar-,ags.,gehornian,beleidigen,tiefstufig,,insult,deep-level
14,1. kar-,lett.,karināt,"necken, reizen",,,"tease, provoke",
15,1. kar-,ostlit.,kìrinti,"necken, reizen",ablaut.,,"tease, provoke",ablaut. [UNKNOWN]
16,1. kar-,aksl.,korъ,contumelia,,,contumelia,
17,1. kar-,aksl.,u-korъ,contumelia,,,contumelia,
18,1. kar-,aksl.,u-koriti,schmähen,,,to revile/scorn,
19,1. kar-,aksl.,po-koriti,unterwerfen,,,submit/surrender,
20,1. kar-,čech.,po-kora,Demut,,,Humility,
21,1. kar-,čech.,po-korný,demütig,,,humble,
22,1. kar-,serb.-ksl.,kara,Streit,ablaut.; f.,,Dispute or argument,ablaut.; feminine.
23,1. kar-,čech.,kára,"Vorwurf, Strafe",usw.,,"Accusation, punishment",etc.
24,1. kar-,toch. A,kärn-,quälen,vielleicht hierher,,torture,maybe here
25,1. kar-,toch. B,karn-,quälen,vielleicht hierher,,torture,maybe here
0,kār-,gr.,κηρός,Wachs,,,Wax,
1,kār-,gr.,κηρίον,"Wabe, Wabenhonig","kann, obwohl dor. κᾱρός nicht genügend gesichert ist, außerhalb des lon.-Att. Lehnform aus dieser Dialektgruppe sein, welchenfalls lat. \cēra\ als griech. Lw. gesichert wäre",,"Honeycomb, comb honey","kann, obwohl dor. κᾱρός nicht genügend gesichert ist, außerhalb des lon.-Att. Lehnform aus dieser Dialektgruppe sein, welchenfalls lat. \cēra\ als griech. Lw. gesichert wäre [UNKNOWN]"
2,kār-,lit.,korỹs,"Wabenhonig, Honigscheibe der Bienen",,,"Honeycomb honey, honey disc of bees",
3,kār-,lett.,kâres,"Wabenhonig, Honigscheibe der Bienen",Nom. Pl.,,"Honeycomb honey, honey disc of bees",Nominative Plural
4,kār-,poln.,skarzyk,der Vorstoß im Bienenstock,,,the intrusion in the beehive,
0,kā̆u(ə)lā : kūlā,Gr. ion.,κήλη,"Geschwulst, bes. Leibschaden",vokalisch sehr schwierig; ion. κήλη aus *κᾱϝ-ελ-ᾱ?,,"Tumor, especially bodily injury",vocally very difficult; ion. κήλη from *κᾱϝ-ελ-ᾱ?
,kā̆u(ə)lā : kūlā,Gr. att.,κά̄λη,"Geschwulst, bes. Leibschaden","vokalisch sehr schwierig; att. ach. κά̄λ-η, -ᾱ aus κᾰϝ-ελ-ᾱ?",,"Tumor, especially bodily injury","vokalisch sehr schwierig; att. ach. κά̄λ-η, -ᾱ from κᾰϝ-ελ-ᾱ?"
,kā̆u(ə)lā : kūlā,Gr. att.,βουβωνοκήλη,Leistenbruch,,,Hernia,
,kā̆u(ə)lā : kūlā,Gr.,καλάζει,ὀγκοῦται,"̓Αχαιοί Hes.; vokalisch sehr schwierig; att. ach. κά̄λ-η, -ᾱ aus κᾰϝ-ελ-ᾱ?",,It is obstructed,"̓Αχαιοί Hes.; vokalisch sehr schwierig; att. ach. κά̄λ-η, -ᾱ aus κᾰϝ-ελ-ᾱ? [UNKNOWN]"
,kā̆u(ə)lā : kūlā,Gr.,κάλαμα,ὄγκος,,,swelling,
1,kā̆u(ə)lā : kūlā,Gr.,κάλαμα,ὄγκος,Hes.,,swelling,Hes. [UNKNOWN]
2,kā̆u(ə)lā : kūlā,anord.,haull,Leistenbruch,"\*kāu[ə]lā\, allenfalls \*kəu̯[ə]lā\",,Hernia,"*kāu[ə]lā\, allenfalls *kəu̯[ə]lā\"
3,kā̆u(ə)lā : kūlā,ags.,hēala,Leistenbruch,"\*kāu[ə]lā\, allenfalls \*kəu̯[ə]lā\",,Hernia,"*kāu[ə]lā\, allenfalls *kəu̯[ə]lā\"
4,kā̆u(ə)lā : kūlā,ahd.,hōla,Leistenbruch,"\*kāu[ə]lā\, allenfalls \*kəu̯[ə]lā\",,Hernia,"*kāu[ə]lā\, allenfalls *kəu̯[ə]lā\"
5,kā̆u(ə)lā : kūlā,ksl.,kyla,Leistenbruch,tiefstufig,,Hernia,deep-level
6,kā̆u(ə)lā : kūlā,russ.,kilá,Leistenbruch; Knorren am Baum,,,Inguinal hernia; Knobs on the tree.,
7,kā̆u(ə)lā : kūlā,serb.,kȉla,Leistenbruch; Knorren am Baum,,,Inguinal hernia; Knobs on the tree.,
8,kā̆u(ə)lā : kūlā,lit. dial.,kúle,"Auswuchs, Knorren",,,"Excess, knurls",
0,kaus-,gr.,καῦνος,Los',*καυσ-νος,,Go,*k̂u̯oinā [UNKNOWN]
1,kaus-,ksl.,kъšь,Los',m.,,Go,m.
2,kaus-,ksl.,kъšiti sę,losen',,,solving',
3,kaus-,ksl.,prěkъšiti,im Würfelspiel gewinnen',,,win in the dice game,
0,k̑eip-,ai.,śiprā,"Schnurrbart, wallender Helmbusch",f.,,"Mustache, flowing helmet plume",f. [UNKNOWN]
1,k̑eip-,av.,srifa-,Nüstern,m.; mit Metathese,,Nostrils,m.; with metathesis
2,k̑eip-,av.,saēf,wedeln,,,wag,
3,k̑eip-,av.,saēpa-,die Bedeutung ist unklar,,,the meaning is unclear,
4,k̑eip-,lit.,"šiepiúos, šiẽptis",das Gesicht verziehen,,,to make a face,
5,k̑eip-,lit.,"šaipaũs, šaipýtis",das Gesicht verziehen,,,to make a face,
6,k̑eip-,lit.,šyplà,Spötter,,,Scoffer,
7,k̑eip-,lit.,"šypsaũ, -óti",grinsen,,,to grin or smile,
0,keis-,ai.,kiṣku-,Vorderarm,,,Forearm,
1,keis-,ndl.,hĳse,"Muskel, Lendenstück, Keule",,,"Muscle, loin, leg",
2,keis-,ndl.,hĳs,"Muskel, Lendenstück, Keule",,,"Muscle, loin, leg",
3,keis-,limb.,hies,Kniekehle,,,Back of the knee,
4,keis-,lit.,kiš-kà,Kniekehle,,,Back of the knee,
5,keis-,lett.,cis-ka,"Lende, Schenkel, Hüfte",,,"Loins, thighs, hips",
0,kek̑-,ai.,kaśa-,Wiesel,m.,,Weasel,m.
1,kek̑-,ai.,kaśīkā́,Wiesel,f.,,Weasel,f. [UNKNOWN]
2,kek̑-,lit.,šẽškas,Iltis,"Ist balt. s- durch progress. Assim. von \*keškas\ zu erklären, wobei die Nachholung des im Anlaut verdrängten k- im Ausgang der 1. Silbe durch den Anlaut k- der 2. Silbe verhindert wurde? Anders über lit. \šẽškaš\ W. Schulze Kl. Schr. 630.",,Polecat,"Can the Baltic s- be explained by the progressive assimilation of *keškas, whereby the compensation of the displaced initial k- in the ending of the 1st syllable was prevented by the initial k- of the 2nd syllable? Differently over Lithuanian \šẽškaš\ W. Schulze Kl. Schr. 630."
3,kek̑-,lett.,sesks,Iltis,,,Polecat,
0,keku-,av.,čakuš-,"Wurfhammer, Wurfaxt'",,,"Throwing hammer, throwing axe",
1,keku-,npers.,čakuš,Hammer',,,Hammer,
2,keku-,apr.,queke,stecle = Tannen- oder Fichtenast als Zaunstab',,,stecle = spruce or fir branch used as a fence post,
3,keku-,lett.,čaka,Knüttel mit Knorren als Griff',vgl. aber Mühlenbach-Endzelin Lett.-D. Wb. I 401,,Club with knobs as handle,cf. but Mühlenbach-Endzelin Lett.-D. Wb. I 401
0,k̑ēko-,ai.,śāka-,"eßbares Kraut, Gemüse","m., n.",,"edible herbs, vegetables","m., n. [UNKNOWN]"
1,k̑ēko-,lit.,šė́kas,"frisch gemähtes Gras, Grünfutter",,,"freshly mowed grass, green fodder",
2,k̑ēko-,lett.,sēks,"frisch gemähtes Gras, Grünfutter",,,"freshly mowed grass, green fodder",
3,k̑ēko-,apr.,schokis,Gras,dies zunächst aus \*sjākas\; \-jā-\ aus \-ē-\?,,Grass,does this initially come from *sjākas; -jā- from -ē-?
4,k̑ēko-,aisl.,hā,Grummet,wohl aus germ. \*hēhōn-\,,Grummet,wohl aus germ. *hēhōn-
0,k̑eku̯-,ai.,śákr̥t,Mist,n. Gen. \śaknáḥ\,,Crap,n. Gen. \śaknáḥ\ [UNKNOWN]
,,,,,,,,
2,k̑eku̯-,ai.,chagaṇa-,Mist,n.,,Crap,n. [UNKNOWN]
3,k̑eku̯-,gr.,κόπρος,"Mist, Dünger, Schmutz",,,"Manure, fertilizer, dirt",
4,k̑eku̯-,lit.,šikù,cacare,,,to poop,
5,k̑eku̯-,lit.,šìkti,cacare,,,to poop,
6,k̑eku̯-,air.,cechor,palus,Vielleicht hierher auch; f. Gl. (*k̂ekurā),,marsh,Perhaps also here; f. Gl. (*k̂ekurā)
7,k̑eku̯-,mir.,cechair,"Schlamm, Kot",wenn 'leibliche Ausscheidung' die ursprüngliche Bed. ist,,"Mud, feces",if 'leibliche Ausscheidung' is the original meaning
0,"4. kel-, and kāl-",ai.,kalaŋka-,"Fleck, Rost",m.,,"Stain, Rust",m.
1,"4. kel-, and kāl-",ai.,kalana-,"Fleck, Schmutz",n.,,"Stain, dirt",n. [UNKNOWN]
2,"4. kel-, and kāl-",ai.,káluṣa-,"schmutzig, schwarz",,,"dirty, black",
3,"4. kel-, and kāl-",ai.,kalmaṣa-,"Fleck, Schmutz",,,"Stain, dirt",
4,"4. kel-, and kāl-",ai.,kalmā́ṣa-,"bunt, gesprenkelt",,,"colorful, speckled",
5,"4. kel-, and kāl-",ai.,karka-,weiß,mit Formans \-ko-\,,white,with Formans -ko-
,"4. kel-, and kāl-",ai.,karka-,Schimmel',m.; mit Formans \-ko-\,,Mold,m.; with formant -ko-
6,"4. kel-, and kāl-",ai.,karkī vaśā,weiße Kuh,,,white cow,
7,"4. kel-, and kāl-",ai.,karkā,weiße Stute,Persson Beitr. 169,,white mare,Persson Contribute. 169
8,"4. kel-, and kāl-",ai.,kalká-,"Kot, Dreck",m.,,"Feces, dirt",m.
9,"4. kel-, and kāl-",ai.,cāṣa-,der blaue Holzhäher,m.; \*kel-so-\,,the blue woodpecker,m.; \*kel-so-\ [UNKNOWN]
10,"4. kel-, and kāl-",npers.,čarma,Schimmel,,,Mold,
11,"4. kel-, and kāl-",kurd.,čerme,weiß,: schweiz. \helm\,,white,switzerland. \helmet\
12,"4. kel-, and kāl-",gr.,κελαινός,schwarz,,,black,
13,"4. kel-, and kāl-",gr.,κιλλός,grau,,,gray,
14,"4. kel-, and kāl-",gr.,κίλλος,Esel und 'Zikade',Vokal wie in πιλνός neben πελιός; -λλ- aus -λν-?,,Donkey and 'Cicada',Vowel like in πιλνός next to πελιός? -λλ- from -λν-?
15,"4. kel-, and kāl-",gr.,κόλυμβος,Taucher (Vogelart),"wovon κολυμβάω `tauche', von der dunklen Farbe genannt; \*kolu-mbhos\ (sehr wahrscheinlich)",,Diver (bird species),"wovon κολυμβάω `tauche', von der dunklen Farbe genannt; *kolu-mbhos (very likely)"
16,"4. kel-, and kāl-",gr.,κίλλ-ουρος,Bachstelze,Hes.,,Wagtail,Hes. [UNKNOWN]
17,"4. kel-, and kāl-",lat.,columba,Taube,\*kol-on-bho-\ oder \*kolu-mbho-\,,Dove,\*kol-on-bho-\ or \*kolu-mbho-\
18,"4. kel-, and kāl-",lat.,columbus,Taube,\*kol-on-bho-\ oder \*kolu-mbho-\; zum \-mb-\ aus \-mbh-\  Schwyzer Gr. Gr. I 333,,Dove,\*kol-on-bho- or \*kolu-mbho-; to \-mb-\ from \-mbh-\ Schwyzer Gr. Gr. I 333
19,"4. kel-, and kāl-",nhd.,helm,weißer Fleck beim Vieh auf der Stirn,schweiz.,,white spot on the animal's forehead,switzerland.
20,"4. kel-, and kāl-",nhd.,helme,Name einer Kuh mit weißgeflecktem Kopf,schweiz.,,Name of a cow with a white-spotted head,switzerland.
21,"4. kel-, and kāl-",schwed.,hjälm,blässiger Ochs oder blässiges Pferd,dialektisch,,pale ox or pale horse,dialectical
22,"4. kel-, and kāl-",mhd.,hilwe,feiner Nebel,f.; wahrscheinlich ,,fine mist,f.; probably
23,"4. kel-, and kāl-",bair.,gehilb,"Nebel, Herdrauch",\w-\ in Beziehung zum \u\ von ai. \káluṣa-ḥ\,,"Fog, stove smoke",\w-\ in relation to the \u\ of ai. \káluṣa-ḥ\
24,"4. kel-, and kāl-",ahd.,huliwa,"uligo, sordes limi velaquae",,,"Slimy, dirt of the limes, I wash sails.",
25,"4. kel-, and kāl-",mhd.,hülwe,"Pfütze, Pfuhl, Sumpflache",im Ablaut steht,,"Puddle, mire, swampy area",is in ablaut
26,"4. kel-, and kāl-",ahd.,holuntar,Holunder,von den schwarzen Beeren,,Elderberry,of the black berries
27,"4. kel-, and kāl-",ahd.,holantar,Holunder,von den schwarzen Beeren,,Elderberry,of the black berries
28,"4. kel-, and kāl-",aschwed.,hylle,Holunder,von den schwarzen Beeren,,Elderberry,of the black berries
29,"4. kel-, and kāl-",russ.,kalína,Viburnum opulus,Zugehörigkeit zu \kalъ\ (s. unten) erwägt; Berneker 473 m. Lit.,,European cranberrybush,Considering affiliation to \kalъ\ (see below); Berneker 473 with literature.
30,"4. kel-, and kāl-",gr.,"κηλί̄ς, -ῖδος",Fleck,Wurzelform kāl- : kəl-,General note for the remainder of roots,Stain,Root form kāl- : kəl-
31,"4. kel-, and kāl-",gr.,κηλιδόω,"beflecke, beschmutze",,,"stain, dirtify",
32,"4. kel-, and kāl-",gr.,κηλήνη,μέλαινα,Hes.,,black (feminine form),Hes. [UNKNOWN]
33,"4. kel-, and kāl-",gr.,κηλάς,"νεφέλη ἄνυδρος καὶ χειμερινὴ ἡμέρα · καὶ αἴξ, ἥτις κατὰ τὸ μέτωπον σημεῖον ἔχειτυλοειδές",Hes.,,Cloud without water and winter day; and a marsh-goat that on its forehead has a spiral marking.,Hes. [UNKNOWN]
34,"4. kel-, and kāl-",lat.,cālidus,weißstirnig (*von Pferden),,,white-faced (*of horses),
35,"4. kel-, and kāl-",lat.,callidus,weißstirnig (*von Pferden),Gl.,,white-faced (*of horses),[UNKNOWN]
36,"4. kel-, and kāl-",umbr.,kaleřuf,callidos (boves),(\buf\),,skilled (oxen),(\buf\) [UNKNOWN]
37,"4. kel-, and kāl-",lat.,cālīgo,"Nebel, Finsternis",f.,,"Fog, darkness",f. [UNKNOWN]
38,"4. kel-, and kāl-",air.,caile,Fleck,,,Stain,
39,"4. kel-, and kāl-",mir.,gaile,Fleck,,,Stain,
40,"4. kel-, and kāl-",lit.,kalýbas,weißhalsig,,,white-necked,
41,"4. kel-, and kāl-",lit.,kalývas,weißhalsig,,,white-necked,
42,"4. kel-, and kāl-",aksl.,kalъ,"πηλός, Kot","mit den Bedeutungen 'Sumpf, Morast, mit Kot beschmutzen'",,"clay, dirt","with the meanings 'swamp, marsh, soiled with feces'"
43,"4. kel-, and kāl-",russ.,kalína,Viburnum opulus,nach der Farbe,,European cranberrybush,after the color
44,"4. kel-, and kāl-",sloven.,kalina,Pfütze,,,Puddle,
45,"4. kel-, and kāl-",russ.,kalú-ga,Morast,,,Quagmire,
46,"4. kel-, and kāl-",russ.,kalú-ža,Lache,,,Laugh,
0,9. kel-,gr. att.,κηλέω,"bezaubern, betören",(urgr. η),"this should be kēl-, kōl-, kəl-","enchant, mesmerize",(urgr. η) [UNKNOWN]
1,9. kel-,gr. att.,κηληθμός,Bezauberung,,,Enchantment,
2,9. kel-,gr. att.,κηληδόνες,bezaubernde Wesen,Pl. f.,,enchanting beings,Plural feminine.
3,9. kel-,lat.,"calvor, -ī","Ränke schmieden, hintergehen, täuschen",das \-v-\ ist unklar,,"Scheming, betraying, deceiving",the \-v-\ is unclear
4,9. kel-,lat.,"calviō, -īre","Ränke schmieden, hintergehen, täuschen",das \-v-\ ist unklar,,"Scheming, betraying, deceiving",the \-v-\ is unclear
5,9. kel-,lat.,calumnia,"falsche Anklage, Betrug, Verleumdung, Ränke",*calvomniā,,"false accusation, fraud, slander, intrigues",*calvomniā [UNKNOWN]
6,9. kel-,lat.,cavilla,"Neckerei, Stichelei, Trotzelei",*calvilla; sehr wahrscheinlich,,"Teasing, poking, defiance",*calvilla; very likely
7,9. kel-,lat.,"cavillor, -ārī","necken, bewitzeln, behöhnen",das \-v-\ ist unklar,,"tease, joke, ridicule",the \-v-\ is unclear
8,9. kel-,got.,hōlōn,verleumden,,,to slander,
9,9. kel-,got.,afhōlōn,verleumden,,,to slander,
10,9. kel-,anord.,hōl,"Lob, Prahlerei",,,"Praise, boasting",
11,9. kel-,anord.,hø̄la,"preisen, prahlen",,,"praise, boast",
12,9. kel-,ags.,hōl,Verleumdung,n.,,Defamation.,n. [UNKNOWN]
13,9. kel-,ags.,hōlian,verleumden,,,to slander,
14,9. kel-,ags.,"hōlunga, hōlinga","vergebens, grundlos",,,"in vain, without reason",
15,9. kel-,ags.,hēlan,verleumden,,,to slander,
