,web_root,root,abbr,reflex,meaning,notes
6,dhrigh- (oder dhreikh-),"dhrigh-, or dhreikh-",lit.,"driẽkti, drỹkti","'ausdehnen, ausziehen (einen Faden), in langen Fäden herabhängen'",
7,dhrigh- (oder dhreikh-),"dhrigh-, or dhreikh-",slovak.,"driek, driečny","'Stamm, stämmig'",
8,dhrigh- (oder dhreikh-),"dhrigh-, or dhreikh-",abg.,drьkolь,'Stange',
0,dhrono-,dhrono-,gr.,θρόνα,"'Blumenverzierungen in Gewändern (bei den alexandrin. Dichtern für φάρμακα, Zauber-, Heilkräuter gebraucht), bunte Gewänder, bunte Tiere'","Hoffmann BB. 15, 86, Lidén Stud. 67 f."
1,dhrono-,dhrono-,alb.,drē-ri,multicolored?,Lidén aaO.
2,dhrono-,dhrono-,geg.,dre-ni,'Hirsch',"Tiere aus dem Hirsch- und Rehgeschlecht sind häufig als 'gesprenkelt, bunt' benannt"
3,dhrono-,dhrono-,illyr.,*drani-,multicolored?,Hesychglosse αρανις · ἔλαφος (Λ- verschrieben für Δ-)
4,dhrono-,dhrono-,gr.,θρόνα,'Stickerei',"Stokes Mél. Kern [RC 24, 217]"
5,dhrono-,dhrono-,mir.,druine,ds.,
0,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhvárati,beschädigt,Partiz.
1,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,"dhrutá-, -dhrut",to harm by trickery/deception,
2,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhvr̥t,to harm by trickery/deception,
3,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhrúti,"Täuschung, Verführung",f.
4,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhvará-,trügend,
5,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhvarás-,eine Art weiblicher Dämonen,f. (Nom. -ā́ḥ)
6,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhū́rvati,"bringt durch Täuschung zu Fall, beschädigt",
7,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhū́rta-ḥ,"betrügerisch, m. Betrüger",
8,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhūrtí-,listige Beschädigung,f.
9,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,"fraus, -dis","Betrug, hinterlistige Täuschung, Schaden, Strafe",f.
10,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,frausus sum,to harm by trickery/deception,(Plaut)
11,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",umbr.,frosetom,fraudātum,
12,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,frūstra,"irrtümlich, vergeblich",
13,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,"frūstror, -āri","täusche, hintergehe",
14,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,frūstrā,to harm by trickery/deception,jünger
15,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",hitt.,du-wa-ar-na-aḫ-ḫu-un,ich brach,
16,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhū́rta-ḥ,betrügerisch,m.
17,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhū́rta-ḥ,Betrüger,
18,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhūrtí-,listige Beschädigung,f.
19,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",ai.,dhū́rvati,"bringt durch Täuschung zu Fall, beschädigt",Tiefstufe einer schweren Basis dhu̯erə-
20,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,"fraus, -dis","Betrug, hinterlistige Täuschung, Schaden, Strafe",f.
21,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,frausus sum,to harm by trickery/deception,(Plaut)
22,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",umbr.,frosetom,fraudātum,
23,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,frūstra,"irrtümlich, vergeblich",
24,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,"frūstror, -āri","täusche, hintergehe",
25,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",lat.,frūstrā,to harm by trickery/deception,jünger
26,"dhu̯er-, dhu̯erə-","dhu̯er-, dhu̯erə-",hitt.,du-wa-ar-na-aḫ-ḫu-un,ich brach,
0,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,ai.,abhi,Präfix 'auf - zu',
1,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,ai.,abhí,Präp. mit Akk. 'zu',
2,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,gthav.,aibī,"'zu, be-'",
3,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,jav.,aiwi,"'zu, be-'",
4,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,jav.,avi,"'zu, be-'",
5,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,jav.,aoi,"'zu, be-'",
6,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,apers.,abiy,"als Präfix 'zu, be-', als Präp. m. Akk. 'zu - hin', mit Lok. 'über, in betreff von'","im Ar. abhi liegt auch zum Teil *\m̥bhi\ vor, s. oben S. 34"
7,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,lat.,ob,"scheint nur in der Funktion, nicht aber den Lauten nach teilweise Nachfolger von idg.obhi",s. unter __epi__
8,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,got.,bi,"'auf - hin (got.), in Beziehung auf, über'","mit Akk.; 'an, bei' mit Dat. (Lok.), auch mit Instr., Präfix 'be-', s. auch unter __ambhi__, oben S. 34, das im Auslaut dasselbe Element enthält"
9,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,ahd. usw.,bi,"'auf - hin (got.), in Beziehung auf, über'","mit Akk.; 'an, bei' mit Dat. (Lok.), auch mit Instr., Präfix 'be-', s. auch unter __ambhi__, oben S. 34, das im Auslaut dasselbe Element enthält"
10,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,ahd. usw.,bī,"'auf - hin (got.), in Beziehung auf, über'","mit Akk.; 'an, bei' mit Dat. (Lok.), auch mit Instr., Präfix 'be-', s. auch unter __ambhi__, oben S. 34, das im Auslaut dasselbe Element enthält"
11,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,aksl.,obь,"als Präverb 'um-, be-'","in оbь-stojati oder obъ-stojati 'umringen', in Kompositis, wie obьdo n. 'Schatz', in Ableitungen, wie obьštь, russ.-ksl. оbьčъ'gemeinsam' (*obhi-ти̯o-); verstärkte Form obi- im russ -ksl. obichoditi 'umhergehen'; die Form o, ob enthält altes *op- (lit. ap), s. unter __epi__"
12,(ebhi?) : obhi : bhi,ebhi? : obhi : bhi,aksl.,оbъ,"als Präverb 'um-, be-'","in оbь-stojati oder obъ-stojati 'umringen', in Kompositis, wie obьdo n. 'Schatz', in Ableitungen, wie obьštь, russ.-ksl. оbьčъ'gemeinsam' (*obhi-ти̯o-); verstärkte Form obi- im russ -ksl. obichoditi 'umhergehen'; die Form o, ob enthält altes *op- (lit. ap), s. unter __epi__"
0,edh-,1. edh-,lat.,"ebulus, -ī f. und -um n.","Niederholunder, Attich",
1,edh-,1. edh-,ablaut.,odocos,Attich,"mit k-Suffix, gall. und gallorom."
2,edh-,1. edh-,ahd.,"attuh, attah",Attich,aus dem Kelt. entlehnt
3,edh-,1. edh-,as.,aduk,Attich,aus dem Kelt. entlehnt
4,edh-,1. edh-,bsl.,*edlā- und *edli- f.,Tanne,
5,edh-,1. edh-,apr.,addle (*edle),Tanne,
6,edh-,1. edh-,lit.,ẽglė,Tanne,"daraus dial. ãglė, sekundär ē-St.; -g- aus -d-"
7,edh-,1. edh-,lett.,egle,Tanne,ds. (sekundär ē-St.; -g- aus -d-)
8,edh-,1. edh-,lit.,adýti,sticken,"Iterat., vgl. ãdata 'Nähnadel'"
9,edh-,1. edh-,lett.,adît,stricken,"Iterat., vgl. ãdata 'Nähnadel'"
10,edh-,1. edh-,ksl.,jela (*edlā),"tip, point",usw.
11,edh-,1. edh-,russ.,jelь,"tip, point",usw.
12,edh-,1. edh-,ačech.,jedl,"tip, point",usw. (*edli-)
0,eĝhi-,eg̑hi-,arm.,ozni,Igel,
1,eĝhi-,eg̑hi-,phryg.,εζις,Igel,
2,eĝhi-,eg̑hi-,gr.,ἐχῖνος,Igel,
3,eĝhi-,eg̑hi-,ahd.,igil,Igel,
4,eĝhi-,eg̑hi-,mhd.,igel,Igel,
5,eĝhi-,eg̑hi-,mnd.,egel,Igel,
6,eĝhi-,eg̑hi-,ags.,igil,Igel,
7,eĝhi-,eg̑hi-,ags.,igl,Igel,
8,eĝhi-,eg̑hi-,ags.,īl,Igel,
9,eĝhi-,eg̑hi-,anord.,igull,Seeigel,"mit ī ahd. auch īgil, bei Luther Eigel, anord. auch īgull"
10,eĝhi-,eg̑hi-,lit.,ežỹs,Igel,
11,eĝhi-,eg̑hi-,lett.,ezis,Igel,
12,eĝhi-,eg̑hi-,ksl.,ježь,Igel,"dazu russ. ježevíka, ožína 'Brombeere', ožíka 'Binse' usw., s. Berneker 267"
13,eĝhi-,eg̑hi-,apr.,assegis,Barsch,
14,eĝhi-,eg̑hi-,lit.,ežgỹs,Kaulbarsch,
15,eĝhi-,eg̑hi-,lit.,ežegỹs,Kaulbarsch,
16,eĝhi-,eg̑hi-,lit.,egžlỹs,Kaulbarsch,
17,eĝhi-,eg̑hi-,alit.,ẽkšlis,Kaulbarsch,
18,eĝhi-,eg̑hi-,alit.,jẽkšlis,Kaulbarsch,
19,eĝhi-,eg̑hi-,čech.,ježdík,Barsch,
20,eĝhi-,eg̑hi-,poln.,jażdż,Kaulbarsch,
21,eĝhi-,eg̑hi-,poln.,jaszcz,Kaulbarsch,
22,eĝhi-,eg̑hi-,poln.,jazgarz,Kaulbarsch,Grundf. etwa *ē̆ĝh(e)-g(h)i̯os 'igelartig'
0,ē̆i 2,2. ē̆i,ai.,ē,"Ausruf der Anrede, des Sichbesinnens",
1,ē̆i 2,2. ē̆i,ai.,ai,das selbe,
2,ē̆i 2,2. ē̆i,ai.,ayi,vor dem Vokativ,
3,ē̆i 2,2. ē̆i,av.,āi,vor dem Vokativ,"können auch zu __ai__, oben S. 10, gehören"
4,ē̆i 2,2. ē̆i,gr.,ει<S-0183c0>α,wohlan!,daneben ει<S-0183c0>εν
5,ē̆i 2,2. ē̆i,lat.,ei,ach!,davon
6,ē̆i 2,2. ē̆i,lat.,hei,ach!,davon
7,ē̆i 2,2. ē̆i,lat.,ēiulō,schreie auf,
8,ē̆i 2,2. ē̆i,lat.,oi-ei,oh weh!,
9,ē̆i 2,2. ē̆i,air.,ē,Ausruf der Freude und des Schmerzes,
10,ē̆i 2,2. ē̆i,ahd.,ī,O (vocative particle),sind daraus nicht lautlich entwickelt
11,ē̆i 2,2. ē̆i,mhd.,ei,O (vocative particle),sind daraus nicht lautlich entwickelt
12,ē̆i 2,2. ē̆i,nhd.,ei,O (vocative particle),sind daraus nicht lautlich entwickelt
13,ē̆i 2,2. ē̆i,lit.,eĩ,Ausruf der Warnung,
14,ē̆i 2,2. ē̆i,lett.,ei,hei!,
15,ē̆i 2,2. ē̆i,skr.,êj,ei!,
16,ē̆i 2,2. ē̆i,poln.,ej,ei!,
17,ē̆i 2,2. ē̆i,russ.,ej,ei!,
0,el-2,2. el-,idg.,el-,ruhen,Nach Persson Wortf. 743 wird eine idg. Wz. el- 'ruhen' und Base *elī̆- verteidigt
1,el-2,2. el-,ai.,iláyati,"steht still, kommt zur Ruhe",iḷáyati soll fehlerhafte Schreibung sein
2,el-2,2. el-,ai.,an-ilaya-ḥ,"ruhelos, rastlos",
3,el-2,2. el-,ai.,alasás,"träge, müde, stumpf","zum s-Stamm *alas- 'Müdigkeit' wie rajasás : rájas-; nach Uhlenbeck Wb. 15 gehört jedoch alasá-ḥ als a-lasa- 'nicht munter' zu lásati, s. las- 'gierig'"
4,el-2,2. el-,lit.,alsà,Müdigkeit,
5,el-2,2. el-,lit.,ilstù,müde werden,
6,el-2,2. el-,lit.,il̃sti,müde werden,
7,el-2,2. el-,lit.,"ilsiúos, ilsė́tis",ruhen,
8,el-2,2. el-,lit.,ãt-il̃sis,Ausruhen,
9,el-2,2. el-,gr.,ἐλῑνύω,"ruhe, raste, bin unwirksam, zögere, höre auf",Die gesamte Konstruktion ist sehr zweifelhaft; vgl. über ἐλῑνύω lei-2 'sich ducken' und lēi- 'nachlassen'
0,el-3 : ol-,3. el- : ol-,norw.,ul,"verschimmelt, von Ekel erfüllt",
1,el-3 : ol-,3. el- : ol-,schwed.,ul,ranzig,
2,el-3 : ol-,3. el- : ol-,holl.,uilig,verfault (von Holz),
3,el-3 : ol-,3. el- : ol-,norw. schw.,ula,,
4,el-3 : ol-,3. el- : ol-,altn. norw. schw.,ulna,,
5,el-3 : ol-,3. el- : ol-,ai.,"āla- n., ālaka-",Gift,"Unsicher ob es hier gehört, Vermutete Wurzelform: *\ōl-n̥-ko\-"
6,el-3 : ol-,3. el- : ol-,ai.,r̥jīṣá́-ḥ,"klebrig, glatt, schlüpfrig",
7,el-3 : ol-,3. el- : ol-,lat.,alga,"Seegras, Seetang","Vermutete Wurzelform: *elgā, vgl. ags. wōs 'Schlamm, Feuchtigkeit': engl. woos 'Meergras'"
8,el-3 : ol-,3. el- : ol-,norw. dial.,ulka,"eitern, ekeln, anfangen zu faulen, Schimmel, anhaftender Schleim; widerwärtiges, unreinliches Weib",
9,el-3 : ol-,3. el- : ol-,dän.,ulk,cottus,
10,el-3 : ol-,3. el- : ol-,norw.,ulk,Froschfisch,
11,el-3 : ol-,3. el- : ol-,norw. dial.,olga,"ekeln, Übelkeit empfinden",
12,el-3 : ol-,3. el- : ol-,norw. dial.,elgja,sich erbrechen wollen,
13,el-3 : ol-,3. el- : ol-,isl.,ǣla,*alhian,
14,el-3 : ol-,3. el- : ol-,norw. dial.,alka,"sudeln, sauen",
15,el-3 : ol-,3. el- : ol-,ndd.,alken,"in unreinen Sachen rühren, in Schmutz treten",
16,el-3 : ol-,3. el- : ol-,dän. dial.,alske,sudeln,
17,el-3 : ol-,3. el- : ol-,ndd.,alschen,,
18,el-3 : ol-,3. el- : ol-,fries.,"alsk, älsk","unrein, verdorben",
19,el-3 : ol-,3. el- : ol-,lat.,ulva,"Schilfgras, Seegras","Vermutete Wurzelform: *oleu̯ā, Sehr wahrscheinlich hierzu gehört"
20,el-3 : ol-,3. el- : ol-,lit.,álksna,Lache,Kann auf *olg-snā zurückgehen
21,el-3 : ol-,3. el- : ol-,arm.,ałt,"Schmutz, Unreinigkeit",
22,el-3 : ol-,3. el- : ol-,arm.,"ałtiur, ełtiur",feuchte Niederung,und elteur
23,el-3 : ol-,3. el- : ol-,altnord.,ū̆ldna,schimmeln,
24,el-3 : ol-,3. el- : ol-,ahd.,oltar,Schmutzkrume,
25,el-3 : ol-,3. el- : ol-,anord.,ȳ̆lda,Moderduft,
26,el-3 : ol-,3. el- : ol-,norw. dial.,ulma,schimmeln,
27,el-3 : ol-,3. el- : ol-,ndd. ostfries.,"olm, ulm","Fäulnis, bes. im Holz",
28,el-3 : ol-,3. el- : ol-,mnd.,ulmich,von Fäulnis angefressen,
29,el-3 : ol-,3. el- : ol-,mhd.,ulmic,ds.,
30,el-3 : ol-,3. el- : ol-,lit.,"el̃mės, almens",die aus der Leiche fließende Flüssigkeit,
31,el-3 : ol-,3. el- : ol-,arm.,ałb,Dreck,
0,elg-,elg-,arm.,ałkałk,"armselig, dürftig, gering, schlecht",
1,elg-,elg-,ahd.,ilki,Hunger,
2,elg-,elg-,lit.,el̃gtis,betteln,
3,elg-,elg-,lit.,el̃geta,Bettler,Lidén Arm. St. 99 f.
4,elg-,elg-,,,,Verwandtschaft mit *__elk-__ 'hungrig; schlecht' ist aber ganz fraglich; s. dort.
0,"embhi-, empi-","embhi-, empi-",gr.,"ἐμπίς, -ίδος",Stechmücke,
1,"embhi-, empi-","embhi-, empi-",ahd.,imbi,"Bienenschwarm, Bienenstock",ältester Beleg impi pīano
2,"embhi-, empi-","embhi-, empi-",ahd.,impi pīano,"Bienenschwarm, Bienenstock",ältester Beleg impi pīano
3,"embhi-, empi-","embhi-, empi-",mhd.,imbe,"Bienenschwarm, Bienenstock","erst spät-mhd. 'Biene', *embi-o-"
4,"embhi-, empi-","embhi-, empi-",nhd.,Imme,Bienenschwarm,ablautend
5,"embhi-, empi-","embhi-, empi-",ags.,imbe,Bienenschwarm,*umbia
0,ēn,ēn,gr.,ἤν,siehe da!,
1,ēn,ēn,gr.,ἠήν,siehe da!,
2,ēn,ēn,lat.,ēn,siehe da!,
0,"enq-, onq-","enq-, onq-",gr.,ὀγκάομαι,"schreie, brülle",vom Esel
1,"enq-, onq-","enq-, onq-",gr.,ὄκνος,Rohrdommel,*ὄγκνος
2,"enq-, onq-","enq-, onq-",alb.,nëkónj,"ächze, seufze, klage",*enq-
3,"enq-, onq-","enq-, onq-",alb. geg.,angój,"ächze, seufze, klage",*enq-
4,"enq-, onq-","enq-, onq-",lat.,"uncō, -āre",vom Naturlaut des Bären,
5,"enq-, onq-","enq-, onq-",cymr.,och,gemitus,"Interjektion 'ach!', ist nicht aus *oŋq- herleitbar und wohl sicher eine junge interjektionelle Schöpfung"
6,"enq-, onq-","enq-, onq-",slav.,*jęčati,seufzen,
7,"enq-, onq-","enq-, onq-",russ.-ksl.,"jaču, jačati",seufzen,
8,"enq-, onq-","enq-, onq-",russ.-ksl.,jaklivъ,"μογιλάλος, aegre loquens",
9,"enq-, onq-","enq-, onq-",russ. mdartl.,jačátь,"stöhnen, klagend rufen",
10,"enq-, onq-","enq-, onq-",mir.,ong,"Stöhnen, Seufzer, Wehklage",Mit Media
11,"enq-, onq-","enq-, onq-",air.,ennach,Krähe,aus *eng-n-ākā
12,"enq-, onq-","enq-, onq-",air.,enchache,scurrilitas,femininum
13,"enq-, onq-","enq-, onq-",mnd.,anken,"stöhnen, seufzen",
14,"enq-, onq-","enq-, onq-",norw. mdartl.,ank,"Gewimmer, Seufzen, Kummer, Reue",
15,"enq-, onq-","enq-, onq-",dän.,"ank, anke","Klage, Beschwerde",
16,"enq-, onq-","enq-, onq-",dän.,ynke,"bemitleiden, bedauern, beklagen",ablautend
17,"enq-, onq-","enq-, onq-",schwed.,ynka,"bemitleiden, bedauern, beklagen",ablautend
18,"enq-, onq-","enq-, onq-",nhd.,Unke,nach ihrem kläglichen Ruf,"allenfalls auch nhd. Unke nach ihrem kläglichen Ruf (doch mhd. Schallwort ūche 'Kröte'; s. noch Kluge^^11^^, der Kreuzung dieser ūche mit mhd. ahd. unc 'Schlange' [s. oben S. 44] erwägt)"
19,"enq-, onq-","enq-, onq-",lit.,"ùngti, ùngau",wimmern wie ein Hund,Ein Schallwort
0,ent- (besser ant-?),"ent-, better ant-?",ai.,átka-ḥ,"Gewand, Mantel","m. 'Oberkleid, Mantel' (\n̥t-ko-s\)"
1,ent- (besser ant-?),"ent-, better ant-?",av.,aδka-,"Oberkleid, Mantel",(\n̥t-ko-s\)
2,ent- (besser ant-?),"ent-, better ant-?",av.,atka-,"Oberkleid, Mantel",(\n̥t-ko-s\)
3,ent- (besser ant-?),"ent-, better ant-?",alb.,ent,"webe, zettle das Gewebe an",(\*ent-i̯-\ oder *\n̥t\-\i̯\)
4,ent- (besser ant-?),"ent-, better ant-?",alb.,int,"webe, zettle das Gewebe an",(\*ent-i̯-\ oder *\n̥t\-\i̯\)
5,ent- (besser ant-?),"ent-, better ant-?",gr.,att. ἄττομαι,webe,(\*n̥t-i̯o-\)
6,ent- (besser ant-?),"ent-, better ant-?",gr.,δίαζομαι,das selbe,"(vgl. Debrunner IF. 21, 216)"
7,ent- (besser ant-?),"ent-, better ant-?",gr.,ἄσμα,Kettenfaden,
8,ent- (besser ant-?),"ent-, better ant-?",gr.,δίασμa,Kettenfaden,
9,ent- (besser ant-?),"ent-, better ant-?",gr.,ἄνταρ,das selbe,"(Petersson Heterokl. 262), ist eher *\ant\- als Wurzel anzusetzen. Jedoch besteht bei gr. Kulturwörtern der Verdacht voridg. Herkunft"
10,ent- (besser ant-?),"ent-, better ant-?",gr.,ἀντήριος,das selbe,ist eher *\ant\- als Wurzel anzusetzen. Jedoch besteht bei gr. Kulturwörtern der Verdacht voridg. Herkunft
11,ent- (besser ant-?),"ent-, better ant-?",air.,étid,bekleidet,(\*en-togo-\) gebildet sein
12,ent- (besser ant-?),"ent-, better ant-?",air.,étiud,Kleidung,(\*en-togo-\) gebildet sein
13,ent- (besser ant-?),"ent-, better ant-?",ai.,átka-ḥ,"Haut, Schlauch","die Gleichung ai. \átka-ḥ\ : gr. ἀσκός 'Haut, Schlauch' ist der Bedeutung wegen zweifelhaft"
14,ent- (besser ant-?),"ent-, better ant-?",gr.,ἤτριον,Kettenfaden,vorgr. Herkunft verdächtig
15,ent- (besser ant-?),"ent-, better ant-?",gr.,dor. ἄ̄τριον,Kettenfaden,vorgr. Herkunft verdächtig
0,epero-,epero-,lat.,aper,Eber,
1,epero-,epero-,lat.,aprī,Eber,
2,epero-,epero-,umbr.,apruf,Schweine,Akk. Pl.
3,epero-,epero-,umbr.,abrof,Schweine,Akk. Pl.
4,epero-,epero-,umbr.,abrunu,Schweine,Akk. Sg.
5,epero-,epero-,umbr.,abrons,Schweine,Akk. Pl.
6,epero-,epero-,lat.,Aprōnius,Schweine,"siehe Schulze Eigennamen 111, 124 f."
7,epero-,epero-,mars.-lat.,Aprufclano,Schweine,"siehe Schulze Eigennamen 111, 124 f."
8,epero-,epero-,lat.,aprugnus,vom Eber,abgeleitet mit Suffix -gno- zur Wz. __ĝen__
9,epero-,epero-,lat.,Eprius,wild boar,PN
10,epero-,epero-,germ.,*ebura-,Eber,
11,epero-,epero-,altn.,jǫfurr,Fürst,"in übertragener Bedeutung, eigentlich 'Eber'"
12,epero-,epero-,ags.,eofor,Eber,
13,epero-,epero-,mndd.,ever,wild boar,
14,epero-,epero-,ahd.,ebur,wild boar,
15,epero-,epero-,nhd.,Eber,wild boar,
16,epero-,epero-,asl.,veprь,Eber,Mit (analogischem?) v-Vorschlag gehören hierher
17,epero-,epero-,skr.,vȅpar,wild boar,"Gen. vȅpra, Mit (analogischem?) v-Vorschlag gehören hierher"
18,epero-,epero-,poln.,wieprz,wild boar,"Gen. wieprza, Mit (analogischem?) v-Vorschlag gehören hierher"
19,epero-,epero-,russ.,veprь,wild boar,"Gen. véprja, Mit (analogischem?) v-Vorschlag gehören hierher"
20,epero-,epero-,lett.,vepris,ds.,"ist nicht dem Slav. entlehnt, sondern urverwandt"
21,epero-,epero-,lit.,Vẽpriai,wild boar,Plur.
22,epero-,epero-,apr.,Weppren,wild boar,
23,epero-,epero-,thrak.,ἔβρος,Bock,unklar
0,ēpi-,ēpi-,ai.,āpí,"Freund, Bundesgenosse",
1,ēpi-,ēpi-,ai.,āpyam,"Freundschaft, Genossenschaft",
2,ēpi-,ēpi-,gr.,ἤπιος,"freundlich, mild; beistehend",
3,ēpi-,ēpi-,gr.,*epi,"nahe hinzu, ἐπί","so daß *ēpi-s (und *ēpi-os) den 'nahe bei einem weilenden, den hilfreichen Gefährten' bezeichnet hätte, woraus auch 'traut'"
4,ēpi-,ēpi-,gr.,ἠπάομαι,heile,ursprüngl. (?) 'heile' (vgl. ἤπια φάρμακα πάσσειν) und daraus 'flicke'?
0,"epop, opop","epop, opop",arm.,popop,Wiedehopf,
1,"epop, opop","epop, opop",npers.,pūpū,Wiedehopf,
2,"epop, opop","epop, opop",gr.,ἐποποῖ ποποπό,Ruf des Wiedehopfs,
3,"epop, opop","epop, opop",gr.,"ἔποψ, -οπος",Wiedehopf,(-ωπ- wohl durch Anlehnung an -ωψ)
4,"epop, opop","epop, opop",gr.,ἔπωπα · ἀλεκτρυόνα ἄγριονHes,(onomatopoeic: call of hoopoe bird),
5,"epop, opop","epop, opop",gr.,"ἄπαφός · ἔποψ, τὸ ὄρνεον",(onomatopoeic: call of hoopoe bird),"(assimiliert aus *επαφός, das im Ausgang nach dem Tiernamensuffix -αφος umgebildet ist)"
6,"epop, opop","epop, opop",lat.,upupa,Wiedehopf,
7,"epop, opop","epop, opop",ndd.,Hupphupp,u. dgl.,
8,"epop, opop","epop, opop",nhd.,Wiedehopf,,
9,"epop, opop","epop, opop",ahd.,wituhopfo,,"ist eine Umdeutung nach germ. widu- (idg. u̯idhu-) 'Baum, Holz'"
10,"epop, opop","epop, opop",as.,widohoppa,,"ist eine Umdeutung nach germ. widu- (idg. u̯idhu-) 'Baum, Holz'"
11,"epop, opop","epop, opop",mhd.,hopfen,hüpfen,"ist eine Umdeutung nach germ. widu- (idg. u̯idhu-) 'Baum, Holz'"
12,"epop, opop","epop, opop",lett.,puppukis,Wiedehopf,
13,"epop, opop","epop, opop",osorb.,hupak,Wiedehopf,"Ähnlich, aber unredupliziert"
14,"epop, opop","epop, opop",poln.,hupek,Wiedehopf,"Ähnlich, aber unredupliziert"
15,"epop, opop","epop, opop",osorb.,hupać,wie ein Wiedehopf schreien,"Ähnlich, aber unredupliziert"
16,"epop, opop","epop, opop",slovak.,húpati,schreien,vgl. auch allgemeiner
17,"epop, opop","epop, opop",russ.,chupsti sja,sich rühmen,
0,eph-,eph-,arm.,ep'em,koche,
1,eph-,eph-,gr.,ἕψω,koche,"Fut. ἑψήσω, Partiz. ἑφθός (erweist an sich nicht idg. ph, da auch *ἑπστός zu ἑφθός führen mußte); doch wird ἕψω so-Präs. sein (vgl. δέψω : δέφω) und arm. p' ein idg. ph fortsetzen."
0,"er-2, eri-","2. er-, eri-",arm.,or-oj,"agnus, agna",assimil. aus *er-oj
1,"er-2, eri-","2. er-, eri-",arm.,erinj,"δάμαλις, vitula, iuvenca, bos",
2,"er-2, eri-","2. er-, eri-",gr.,ἔριφος,"Böcklein, junge Ziege",*eri-bho- m. f.
3,"er-2, eri-","2. er-, eri-",lat.,"ariēs, -etis","Widder, Mauerbrecher","a nach aper, caper"
4,"er-2, eri-","2. er-, eri-",umbr.,erietu,arietem,
5,"er-2, eri-","2. er-, eri-",air.,heirp,"dama, capra",*erbhī- f.
6,"er-2, eri-","2. er-, eri-",air.,erb(b),Kuh,*erbhā
7,"er-2, eri-","2. er-, eri-",mir.,ferb(b),das selbe,mit sekundärem f-
8,"er-2, eri-","2. er-, eri-",nir.,"earb, fearb","Rotwild, Kuh",
9,"er-2, eri-","2. er-, eri-",schott.-gäl.,earb,Reh,
10,"er-2, eri-","2. er-, eri-",mir.,reithe,Widder,"nach Kleinhans (Ét. Celt. 1, 173) hierher aus *ri-i̯o-ti̯o-"
11,"er-2, eri-","2. er-, eri-",apr.,eristian,Lämmchen,
12,"er-2, eri-","2. er-, eri-",lit.,"ė́ras, jêrs",Lamm,*ero- 'Bock' und *jōrā- 'Jahr' (s. oben S. 297) vermischt
13,"er-2, eri-","2. er-, eri-",litt.,ėrienà,Lammfleisch,"= russ.-ksl. jarina 'Wolle', usw."
14,"er-2, eri-","2. er-, eri-",ahd.,irah,Bock,aus lat. hircus entlehnt.
0,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",lett.,ir̂bs,Stricknadel,Reimwort zu virbs
1,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",lett.,ir̃bulis,"Pflöckchen, Griffel",
